Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    9024 |  1.27e+01 |     -- |  3.15e+01 |  1.12e+02 |     -- |  2.85e+02 |  4.25e+02
   18048 |  1.95e-01 |     -- |  3.11e+00 |  4.11e+00 |     -- |  2.83e+02 |  4.22e+02
   27072 |  1.89e-01 |     -- |  3.13e+00 |  4.14e+00 |     -- |  2.76e+02 |  4.15e+02
   36096 |  1.59e-01 |     -- |  3.13e+00 |  4.15e+00 |     -- |  2.36e+02 |  3.77e+02
   45120 |  1.36e-01 |     -- |  3.37e+00 |  4.43e+00 |     -- |  2.01e+02 |  3.41e+02
   54144 |  1.06e-01 |     -- |  2.98e+00 |  4.02e+00 |     -- |  1.68e+02 |  2.99e+02
   63168 |  8.33e-02 |     -- |  2.88e+00 |  3.92e+00 |     -- |  1.34e+02 |  2.61e+02
   72192 |  7.41e-02 |     -- |  2.68e+00 |  3.70e+00 |     -- |  1.20e+02 |  2.46e+02
   81216 |  6.61e-02 |     -- |  2.58e+00 |  3.53e+00 |     -- |  1.10e+02 |  2.31e+02
   90240 |  5.33e-02 |     -- |  2.29e+00 |  3.13e+00 |     -- |  1.02e+02 |  2.09e+02
   99264 |  3.51e-02 |     -- |  1.90e+00 |  2.52e+00 |     -- |  9.53e+01 |  1.70e+02
  108288 |  2.80e-02 |     -- |  2.11e+00 |  2.71e+00 |     -- |  8.95e+01 |  1.44e+02
  117312 |  2.89e-02 |     -- |  2.72e+00 |  3.42e+00 |     -- |  8.56e+01 |  1.31e+02
  126336 |  3.51e-02 |     -- |  3.51e+00 |  4.45e+00 |     -- |  8.27e+01 |  1.24e+02
  135360 |  3.42e-02 |     -- |  3.52e+00 |  4.49e+00 |     -- |  8.04e+01 |  1.18e+02
  144384 |  4.00e-02 |     -- |  3.83e+00 |  5.20e+00 |     -- |  7.85e+01 |  1.14e+02
  153408 |  3.14e-02 |     -- |  3.21e+00 |  4.38e+00 |     -- |  7.66e+01 |  1.11e+02
  162432 |  3.03e-02 |     -- |  3.39e+00 |  4.32e+00 |     -- |  7.49e+01 |  1.08e+02
  171456 |  3.56e-02 |     -- |  3.82e+00 |  4.95e+00 |     -- |  7.37e+01 |  1.05e+02
  180480 |  2.58e-02 |     -- |  2.72e+00 |  3.94e+00 |     -- |  7.13e+01 |  1.01e+02
  189504 |  2.73e-02 |     -- |  3.20e+00 |  4.20e+00 |     -- |  6.94e+01 |  9.83e+01
  198528 |  2.20e-02 |     -- |  2.79e+00 |  3.60e+00 |     -- |  6.78e+01 |  9.52e+01
  207552 |  2.46e-02 |     -- |  3.07e+00 |  3.99e+00 |     -- |  6.64e+01 |  9.33e+01
  216576 |  2.25e-02 |     -- |  2.48e+00 |  3.76e+00 |     -- |  6.51e+01 |  9.11e+01
  225600 |  1.83e-02 |     -- |  2.59e+00 |  3.23e+00 |     -- |  6.33e+01 |  8.85e+01
  234624 |  1.64e-02 |     -- |  2.34e+00 |  3.02e+00 |     -- |  6.12e+01 |  8.54e+01
  243648 |  1.84e-02 |     -- |  2.59e+00 |  3.37e+00 |     -- |  6.00e+01 |  8.38e+01
