Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    9004 |  7.41e-03 |     -- |  1.77e+01 |  9.22e+01 |     -- |  4.59e+01 |  7.94e+01
   18004 |  3.32e-04 |     -- |  6.68e+00 |  8.48e+00 |     -- |  1.66e+01 |  2.44e+01
   27014 |  1.20e-04 |     -- |  5.22e+00 |  6.62e+00 |     -- |  9.66e+00 |  1.40e+01
   36024 |  7.66e-05 |     -- |  4.57e+00 |  6.15e+00 |     -- |  7.38e+00 |  1.07e+01
   45024 |  7.26e-05 |     -- |  4.49e+00 |  6.35e+00 |     -- |  6.75e+00 |  1.02e+01
   54025 |  2.90e-04 |     -- |  5.65e+00 |  1.39e+01 |     -- |  1.04e+01 |  1.97e+01
   63025 |  3.93e-05 |     -- |  2.80e+00 |  4.25e+00 |     -- |  5.35e+00 |  7.78e+00
   72025 |  3.58e-05 |     -- |  3.11e+00 |  4.29e+00 |     -- |  4.99e+00 |  7.29e+00
   81026 |  4.53e-05 |     -- |  3.80e+00 |  5.16e+00 |     -- |  5.32e+00 |  7.99e+00
   90038 |  6.05e-05 |     -- |  4.24e+00 |  6.14e+00 |     -- |  5.65e+00 |  9.13e+00
   99039 |  3.94e-05 |     -- |  3.85e+00 |  5.10e+00 |     -- |  4.84e+00 |  7.27e+00
  108041 |  7.92e-05 |     -- |  4.41e+00 |  7.02e+00 |     -- |  5.96e+00 |  1.05e+01
  117053 |  2.13e-05 |     -- |  2.05e+00 |  3.05e+00 |     -- |  4.00e+00 |  5.78e+00
  126063 |  3.22e-05 |     -- |  2.82e+00 |  4.33e+00 |     -- |  4.44e+00 |  6.75e+00
  135063 |  3.49e-04 |     -- |  5.94e+00 |  1.66e+01 |     -- |  9.47e+00 |  2.06e+01
  144065 |  2.71e-05 |     -- |  2.01e+00 |  2.94e+00 |     -- |  4.73e+00 |  6.74e+00
  153076 |  2.11e-05 |     -- |  2.55e+00 |  3.28e+00 |     -- |  3.93e+00 |  5.60e+00
  162086 |  2.34e-05 |     -- |  2.85e+00 |  3.67e+00 |     -- |  3.94e+00 |  5.78e+00
  171090 |  2.55e-05 |     -- |  2.92e+00 |  4.02e+00 |     -- |  3.96e+00 |  5.90e+00
  180102 |  2.76e-05 |     -- |  2.77e+00 |  4.27e+00 |     -- |  4.03e+00 |  6.08e+00
  189104 |  2.42e-05 |     -- |  2.70e+00 |  3.59e+00 |     -- |  3.88e+00 |  5.96e+00
  198116 |  3.58e-05 |     -- |  2.91e+00 |  4.62e+00 |     -- |  4.35e+00 |  7.09e+00
  207127 |  1.55e-05 |     -- |  1.57e+00 |  2.40e+00 |     -- |  3.39e+00 |  5.01e+00
  216128 |  2.32e-05 |     -- |  2.23e+00 |  3.10e+00 |     -- |  3.89e+00 |  6.07e+00
  225128 |  3.68e-05 |     -- |  2.73e+00 |  4.25e+00 |     -- |  4.34e+00 |  7.45e+00
  234130 |  1.13e-05 |     -- |  1.38e+00 |  1.80e+00 |     -- |  2.99e+00 |  4.40e+00
  243131 |  3.72e-05 |     -- |  2.40e+00 |  4.86e+00 |     -- |  3.88e+00 |  7.13e+00
  252131 |  2.37e-04 |     -- |  2.93e+00 |  1.43e+01 |     -- |  7.62e+00 |  1.64e+01
  261143 |  1.45e-05 |     -- |  6.83e-01 |  8.88e-01 |     -- |  3.71e+00 |  5.31e+00
  270154 |  1.48e-05 |     -- |  1.67e+00 |  2.52e+00 |     -- |  3.36e+00 |  4.83e+00
  279166 |  1.53e-05 |     -- |  1.65e+00 |  2.62e+00 |     -- |  3.31e+00 |  4.88e+00
  288176 |  1.69e-05 |     -- |  2.14e+00 |  2.82e+00 |     -- |  3.40e+00 |  5.08e+00
  297176 |  1.53e-05 |     -- |  2.02e+00 |  2.56e+00 |     -- |  3.27e+00 |  4.90e+00
  306188 |  1.72e-05 |     -- |  1.80e+00 |  2.76e+00 |     -- |  3.21e+00 |  5.18e+00
  315188 |  1.91e-05 |     -- |  1.85e+00 |  2.82e+00 |     -- |  3.48e+00 |  5.50e+00
  324198 |  1.19e-05 |     -- |  1.54e+00 |  2.16e+00 |     -- |  2.89e+00 |  4.37e+00
  333199 |  1.22e-05 |     -- |  1.66e+00 |  2.38e+00 |     -- |  2.90e+00 |  4.33e+00
  342211 |  1.59e-05 |     -- |  1.55e+00 |  2.46e+00 |     -- |  3.17e+00 |  5.08e+00
  351223 |  1.21e-05 |     -- |  1.56e+00 |  2.23e+00 |     -- |  2.87e+00 |  4.38e+00
  360223 |  1.06e-05 |     -- |  1.76e+00 |  2.22e+00 |     -- |  2.74e+00 |  4.03e+00
  369234 |  1.07e-05 |     -- |  1.49e+00 |  2.12e+00 |     -- |  2.72e+00 |  4.10e+00
  378246 |  9.46e-06 |     -- |  1.52e+00 |  2.06e+00 |     -- |  2.59e+00 |  3.84e+00
  387248 |  1.42e-05 |     -- |  1.50e+00 |  2.29e+00 |     -- |  2.97e+00 |  4.82e+00
  396248 |  1.05e-05 |     -- |  1.32e+00 |  1.95e+00 |     -- |  2.63e+00 |  4.15e+00
  405249 |  8.39e-06 |     -- |  1.42e+00 |  1.89e+00 |     -- |  2.43e+00 |  3.64e+00
  414251 |  1.27e-05 |     -- |  1.67e+00 |  2.28e+00 |     -- |  2.90e+00 |  4.49e+00
  423253 |  7.81e-06 |     -- |  1.21e+00 |  1.64e+00 |     -- |  2.43e+00 |  3.60e+00
  432256 |  8.61e-06 |     -- |  1.31e+00 |  1.75e+00 |     -- |  2.51e+00 |  3.76e+00
  441268 |  1.05e-05 |     -- |  1.42e+00 |  1.87e+00 |     -- |  2.68e+00 |  4.18e+00
  450271 |  1.85e-05 |     -- |  1.84e+00 |  4.25e+00 |     -- |  2.66e+00 |  4.34e+00
  459282 |  5.81e-06 |     -- |  8.15e-01 |  1.08e+00 |     -- |  2.19e+00 |  3.23e+00
  468294 |  7.01e-06 |     -- |  9.96e-01 |  1.31e+00 |     -- |  2.33e+00 |  3.51e+00
  477294 |  8.15e-06 |     -- |  1.18e+00 |  1.59e+00 |     -- |  2.39e+00 |  3.71e+00
  486305 |  7.90e-06 |     -- |  1.14e+00 |  1.62e+00 |     -- |  2.31e+00 |  3.63e+00
  495305 |  1.09e-05 |     -- |  1.09e+00 |  1.64e+00 |     -- |  2.56e+00 |  4.38e+00
  504316 |  5.23e-06 |     -- |  1.03e+00 |  1.34e+00 |     -- |  2.02e+00 |  2.95e+00
  513318 |  7.59e-06 |     -- |  1.26e+00 |  1.65e+00 |     -- |  2.30e+00 |  3.53e+00
  522318 |  5.54e-06 |     -- |  1.11e+00 |  1.44e+00 |     -- |  2.05e+00 |  3.00e+00
  531319 |  1.46e-05 |     -- |  1.27e+00 |  2.92e+00 |     -- |  2.56e+00 |  4.56e+00
  540320 |  5.79e-06 |     -- |  5.78e-01 |  8.64e-01 |     -- |  2.10e+00 |  3.29e+00
  549320 |  5.15e-06 |     -- |  8.68e-01 |  1.16e+00 |     -- |  2.00e+00 |  2.99e+00
  558332 |  7.23e-06 |     -- |  1.05e+00 |  1.47e+00 |     -- |  2.27e+00 |  3.51e+00
  567332 |  4.80e-06 |     -- |  9.74e-01 |  1.28e+00 |     -- |  1.95e+00 |  2.82e+00
