Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
   25664 |  3.30e-03 |     -- |  2.27e+01 |  3.91e+01 |     -- |  2.73e+01 |  6.96e+01
   51328 |  9.21e-04 |     -- |  6.76e+00 |  9.48e+00 |     -- |  1.80e+01 |  4.11e+01
   76992 |  5.58e-04 |     -- |  5.63e+00 |  7.77e+00 |     -- |  1.46e+01 |  3.19e+01
  102656 |  4.47e-04 |     -- |  5.81e+00 |  7.93e+00 |     -- |  1.32e+01 |  2.84e+01
  128320 |  3.55e-04 |     -- |  5.15e+00 |  7.01e+00 |     -- |  1.17e+01 |  2.53e+01
  153984 |  3.06e-04 |     -- |  4.46e+00 |  6.16e+00 |     -- |  1.11e+01 |  2.36e+01
  179648 |  2.63e-04 |     -- |  4.34e+00 |  5.87e+00 |     -- |  1.03e+01 |  2.19e+01
  205312 |  2.47e-04 |     -- |  4.33e+00 |  5.99e+00 |     -- |  9.96e+00 |  2.11e+01
  230976 |  2.10e-04 |     -- |  3.95e+00 |  5.36e+00 |     -- |  9.40e+00 |  1.96e+01
  256640 |  1.94e-04 |     -- |  3.70e+00 |  5.10e+00 |     -- |  9.02e+00 |  1.88e+01
  282304 |  1.73e-04 |     -- |  4.00e+00 |  5.49e+00 |     -- |  8.50e+00 |  1.76e+01
  307968 |  1.56e-04 |     -- |  3.49e+00 |  4.71e+00 |     -- |  8.19e+00 |  1.69e+01
  333632 |  1.52e-04 |     -- |  3.80e+00 |  5.11e+00 |     -- |  8.07e+00 |  1.66e+01
  359296 |  1.32e-04 |     -- |  3.03e+00 |  4.15e+00 |     -- |  7.67e+00 |  1.56e+01
  384960 |  1.24e-04 |     -- |  3.14e+00 |  4.30e+00 |     -- |  7.40e+00 |  1.50e+01
  410624 |  1.19e-04 |     -- |  3.09e+00 |  4.21e+00 |     -- |  7.32e+00 |  1.48e+01
  436288 |  1.17e-04 |     -- |  3.07e+00 |  4.28e+00 |     -- |  7.23e+00 |  1.46e+01
  461952 |  1.09e-04 |     -- |  2.95e+00 |  3.98e+00 |     -- |  7.00e+00 |  1.42e+01
  487616 |  1.05e-04 |     -- |  3.07e+00 |  4.13e+00 |     -- |  6.86e+00 |  1.38e+01
  513280 |  1.07e-04 |     -- |  2.95e+00 |  4.07e+00 |     -- |  6.92e+00 |  1.39e+01
  538944 |  8.96e-05 |     -- |  2.34e+00 |  3.29e+00 |     -- |  6.41e+00 |  1.29e+01
  564608 |  9.95e-05 |     -- |  2.91e+00 |  3.94e+00 |     -- |  6.73e+00 |  1.35e+01
  590272 |  8.60e-05 |     -- |  2.57e+00 |  3.56e+00 |     -- |  6.23e+00 |  1.26e+01
  615936 |  9.06e-05 |     -- |  2.84e+00 |  3.89e+00 |     -- |  6.39e+00 |  1.28e+01
  641600 |  7.84e-05 |     -- |  2.28e+00 |  3.07e+00 |     -- |  6.03e+00 |  1.21e+01
  667264 |  7.79e-05 |     -- |  2.39e+00 |  3.30e+00 |     -- |  6.05e+00 |  1.20e+01
