Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4004 |  1.09e-01 |     -- |  1.16e+02 |  1.64e+02 |     -- |  2.40e+02 |  4.34e+02
    8007 |  2.10e-02 |     -- |  5.59e+01 |  6.99e+01 |     -- |  1.47e+02 |  1.93e+02
   12007 |  1.71e-02 |     -- |  4.59e+01 |  5.76e+01 |     -- |  1.33e+02 |  1.75e+02
   16012 |  1.53e-02 |     -- |  3.84e+01 |  4.79e+01 |     -- |  1.27e+02 |  1.68e+02
   20013 |  1.19e-02 |     -- |  3.39e+01 |  4.23e+01 |     -- |  1.09e+02 |  1.48e+02
   24013 |  1.01e-02 |     -- |  3.23e+01 |  3.99e+01 |     -- |  9.86e+01 |  1.37e+02
   28013 |  9.12e-03 |     -- |  2.59e+01 |  3.18e+01 |     -- |  9.40e+01 |  1.31e+02
   32014 |  8.40e-03 |     -- |  2.65e+01 |  3.40e+01 |     -- |  8.92e+01 |  1.25e+02
   36016 |  7.31e-03 |     -- |  2.48e+01 |  3.18e+01 |     -- |  8.28e+01 |  1.17e+02
   40016 |  6.33e-03 |     -- |  2.28e+01 |  3.02e+01 |     -- |  7.67e+01 |  1.08e+02
   44020 |  5.94e-03 |     -- |  1.90e+01 |  2.40e+01 |     -- |  7.50e+01 |  1.06e+02
   48025 |  5.42e-03 |     -- |  1.77e+01 |  2.27e+01 |     -- |  7.13e+01 |  1.02e+02
   52025 |  5.25e-03 |     -- |  1.98e+01 |  2.58e+01 |     -- |  6.93e+01 |  9.90e+01
   56028 |  4.90e-03 |     -- |  1.84e+01 |  2.41e+01 |     -- |  6.70e+01 |  9.60e+01
   60029 |  4.81e-03 |     -- |  1.73e+01 |  2.16e+01 |     -- |  6.68e+01 |  9.56e+01
   64034 |  4.50e-03 |     -- |  1.85e+01 |  2.34e+01 |     -- |  6.42e+01 |  9.18e+01
   68037 |  4.25e-03 |     -- |  1.43e+01 |  1.80e+01 |     -- |  6.29e+01 |  9.04e+01
   72038 |  4.21e-03 |     -- |  1.46e+01 |  1.89e+01 |     -- |  6.25e+01 |  8.97e+01
   76038 |  3.94e-03 |     -- |  1.28e+01 |  1.60e+01 |     -- |  6.06e+01 |  8.72e+01
   80040 |  3.68e-03 |     -- |  1.31e+01 |  1.62e+01 |     -- |  5.84e+01 |  8.42e+01
   84042 |  3.64e-03 |     -- |  1.58e+01 |  2.20e+01 |     -- |  5.68e+01 |  8.24e+01
   88043 |  3.58e-03 |     -- |  1.09e+01 |  1.37e+01 |     -- |  5.77e+01 |  8.34e+01
   92047 |  3.47e-03 |     -- |  1.30e+01 |  1.66e+01 |     -- |  5.61e+01 |  8.15e+01
   96047 |  3.45e-03 |     -- |  1.40e+01 |  1.77e+01 |     -- |  5.59e+01 |  8.11e+01
  100047 |  3.33e-03 |     -- |  1.30e+01 |  1.64e+01 |     -- |  5.51e+01 |  7.99e+01
  104049 |  3.26e-03 |     -- |  1.35e+01 |  1.71e+01 |     -- |  5.45e+01 |  7.88e+01
  108053 |  3.19e-03 |     -- |  1.42e+01 |  1.88e+01 |     -- |  5.33e+01 |  7.76e+01
  112055 |  3.18e-03 |     -- |  1.29e+01 |  1.77e+01 |     -- |  5.32e+01 |  7.76e+01
  116057 |  3.03e-03 |     -- |  1.06e+01 |  1.37e+01 |     -- |  5.26e+01 |  7.66e+01
  120062 |  3.12e-03 |     -- |  1.27e+01 |  1.75e+01 |     -- |  5.29e+01 |  7.69e+01
  124064 |  2.94e-03 |     -- |  1.41e+01 |  1.77e+01 |     -- |  5.13e+01 |  7.46e+01
  128066 |  2.82e-03 |     -- |  1.11e+01 |  1.36e+01 |     -- |  5.07e+01 |  7.37e+01
  132066 |  2.91e-03 |     -- |  1.28e+01 |  1.60e+01 |     -- |  5.13e+01 |  7.45e+01
  136066 |  2.80e-03 |     -- |  1.17e+01 |  1.49e+01 |     -- |  5.04e+01 |  7.32e+01
  140067 |  2.85e-03 |     -- |  1.26e+01 |  1.62e+01 |     -- |  5.04e+01 |  7.37e+01
  144068 |  2.72e-03 |     -- |  1.06e+01 |  1.35e+01 |     -- |  4.98e+01 |  7.24e+01
  148068 |  2.74e-03 |     -- |  1.18e+01 |  1.48e+01 |     -- |  4.97e+01 |  7.24e+01
  152069 |  2.72e-03 |     -- |  1.20e+01 |  1.50e+01 |     -- |  4.92e+01 |  7.21e+01
  156070 |  2.60e-03 |     -- |  1.10e+01 |  1.40e+01 |     -- |  4.83e+01 |  7.07e+01
  160073 |  2.57e-03 |     -- |  1.26e+01 |  1.70e+01 |     -- |  4.76e+01 |  6.95e+01
  164078 |  2.47e-03 |     -- |  1.24e+01 |  1.54e+01 |     -- |  4.69e+01 |  6.85e+01
  168081 |  2.56e-03 |     -- |  9.81e+00 |  1.26e+01 |     -- |  4.83e+01 |  7.05e+01
  172085 |  2.58e-03 |     -- |  1.58e+01 |  2.32e+01 |     -- |  4.62e+01 |  6.79e+01
  176087 |  2.54e-03 |     -- |  1.21e+01 |  1.68e+01 |     -- |  4.72e+01 |  6.91e+01
  180089 |  2.41e-03 |     -- |  8.63e+00 |  1.13e+01 |     -- |  4.69e+01 |  6.84e+01
  184093 |  2.46e-03 |     -- |  1.30e+01 |  1.83e+01 |     -- |  4.65e+01 |  6.77e+01
  188098 |  2.44e-03 |     -- |  9.57e+00 |  1.18e+01 |     -- |  4.70e+01 |  6.87e+01
  192103 |  2.37e-03 |     -- |  9.32e+00 |  1.18e+01 |     -- |  4.64e+01 |  6.78e+01
  196107 |  2.28e-03 |     -- |  1.10e+01 |  1.36e+01 |     -- |  4.53e+01 |  6.61e+01
  200109 |  2.38e-03 |     -- |  1.11e+01 |  1.39e+01 |     -- |  4.61e+01 |  6.75e+01
  204111 |  2.25e-03 |     -- |  1.18e+01 |  1.47e+01 |     -- |  4.47e+01 |  6.54e+01
  208114 |  2.25e-03 |     -- |  9.87e+00 |  1.21e+01 |     -- |  4.50e+01 |  6.59e+01
  212119 |  2.25e-03 |     -- |  1.00e+01 |  1.27e+01 |     -- |  4.50e+01 |  6.57e+01
  216119 |  2.26e-03 |     -- |  1.03e+01 |  1.30e+01 |     -- |  4.50e+01 |  6.59e+01
  220124 |  2.21e-03 |     -- |  1.21e+01 |  1.47e+01 |     -- |  4.41e+01 |  6.48e+01
  224124 |  2.25e-03 |     -- |  1.32e+01 |  1.72e+01 |     -- |  4.45e+01 |  6.47e+01
  228129 |  2.15e-03 |     -- |  8.68e+00 |  1.13e+01 |     -- |  4.43e+01 |  6.46e+01
  232132 |  2.11e-03 |     -- |  1.30e+01 |  1.59e+01 |     -- |  4.30e+01 |  6.29e+01
  236134 |  2.15e-03 |     -- |  8.60e+00 |  1.08e+01 |     -- |  4.43e+01 |  6.46e+01
  240137 |  2.11e-03 |     -- |  1.06e+01 |  1.39e+01 |     -- |  4.34e+01 |  6.34e+01
  244142 |  2.11e-03 |     -- |  1.03e+01 |  1.32e+01 |     -- |  4.36e+01 |  6.35e+01
  248144 |  2.14e-03 |     -- |  1.17e+01 |  1.51e+01 |     -- |  4.34e+01 |  6.36e+01
  252148 |  2.05e-03 |     -- |  1.01e+01 |  1.24e+01 |     -- |  4.31e+01 |  6.27e+01
  256153 |  2.07e-03 |     -- |  1.08e+01 |  1.44e+01 |     -- |  4.28e+01 |  6.26e+01
  260154 |  1.99e-03 |     -- |  9.10e+00 |  1.17e+01 |     -- |  4.25e+01 |  6.19e+01
  264155 |  2.14e-03 |     -- |  1.03e+01 |  1.29e+01 |     -- |  4.38e+01 |  6.40e+01
  268159 |  1.93e-03 |     -- |  1.02e+01 |  1.54e+01 |     -- |  4.15e+01 |  6.01e+01
  272164 |  1.95e-03 |     -- |  1.03e+01 |  1.31e+01 |     -- |  4.19e+01 |  6.10e+01
  276167 |  2.01e-03 |     -- |  1.16e+01 |  1.50e+01 |     -- |  4.21e+01 |  6.15e+01
  280172 |  1.98e-03 |     -- |  9.39e+00 |  1.20e+01 |     -- |  4.24e+01 |  6.17e+01
  284173 |  1.92e-03 |     -- |  9.76e+00 |  1.26e+01 |     -- |  4.15e+01 |  6.05e+01
  288173 |  1.96e-03 |     -- |  9.47e+00 |  1.23e+01 |     -- |  4.21e+01 |  6.14e+01
  292173 |  1.98e-03 |     -- |  1.18e+01 |  1.56e+01 |     -- |  4.17e+01 |  6.09e+01
  296173 |  1.96e-03 |     -- |  9.19e+00 |  1.15e+01 |     -- |  4.21e+01 |  6.14e+01
  300173 |  1.96e-03 |     -- |  1.24e+01 |  1.71e+01 |     -- |  4.11e+01 |  6.02e+01
  304175 |  1.88e-03 |     -- |  9.86e+00 |  1.24e+01 |     -- |  4.10e+01 |  6.01e+01
  308177 |  1.97e-03 |     -- |  9.32e+00 |  1.20e+01 |     -- |  4.21e+01 |  6.16e+01
  312177 |  1.75e-03 |     -- |  1.03e+01 |  1.30e+01 |     -- |  3.96e+01 |  5.76e+01
  316179 |  1.92e-03 |     -- |  8.58e+00 |  1.12e+01 |     -- |  4.18e+01 |  6.09e+01
  320181 |  1.90e-03 |     -- |  1.03e+01 |  1.36e+01 |     -- |  4.13e+01 |  6.01e+01
  324182 |  1.87e-03 |     -- |  9.36e+00 |  1.27e+01 |     -- |  4.08e+01 |  5.97e+01
  328186 |  1.78e-03 |     -- |  8.95e+00 |  1.14e+01 |     -- |  4.02e+01 |  5.85e+01
  332187 |  1.87e-03 |     -- |  1.14e+01 |  1.61e+01 |     -- |  4.03e+01 |  5.88e+01
  336192 |  1.76e-03 |     -- |  8.98e+00 |  1.18e+01 |     -- |  4.00e+01 |  5.80e+01
  340196 |  1.82e-03 |     -- |  8.92e+00 |  1.12e+01 |     -- |  4.08e+01 |  5.93e+01
  344198 |  1.75e-03 |     -- |  9.94e+00 |  1.26e+01 |     -- |  3.95e+01 |  5.77e+01
  348199 |  1.76e-03 |     -- |  9.60e+00 |  1.20e+01 |     -- |  3.98e+01 |  5.80e+01
  352203 |  1.74e-03 |     -- |  1.15e+01 |  1.41e+01 |     -- |  3.93e+01 |  5.73e+01
  356206 |  1.82e-03 |     -- |  9.83e+00 |  1.23e+01 |     -- |  4.05e+01 |  5.91e+01
  360209 |  1.75e-03 |     -- |  1.14e+01 |  1.50e+01 |     -- |  3.93e+01 |  5.73e+01
  364210 |  1.77e-03 |     -- |  7.84e+00 |  1.01e+01 |     -- |  3.98e+01 |  5.85e+01
  368210 |  1.71e-03 |     -- |  1.09e+01 |  1.35e+01 |     -- |  3.91e+01 |  5.69e+01
  372214 |  1.70e-03 |     -- |  9.99e+00 |  1.35e+01 |     -- |  3.88e+01 |  5.67e+01
  376217 |  1.70e-03 |     -- |  8.77e+00 |  1.12e+01 |     -- |  3.93e+01 |  5.71e+01
  380218 |  1.67e-03 |     -- |  9.62e+00 |  1.23e+01 |     -- |  3.88e+01 |  5.64e+01
  384219 |  1.66e-03 |     -- |  1.11e+01 |  1.62e+01 |     -- |  3.81e+01 |  5.53e+01
  388221 |  1.71e-03 |     -- |  9.20e+00 |  1.22e+01 |     -- |  3.92e+01 |  5.70e+01
  392223 |  1.72e-03 |     -- |  8.08e+00 |  1.05e+01 |     -- |  3.97e+01 |  5.76e+01
  396223 |  1.67e-03 |     -- |  1.01e+01 |  1.25e+01 |     -- |  3.87e+01 |  5.64e+01
  400226 |  1.65e-03 |     -- |  9.96e+00 |  1.27e+01 |     -- |  3.86e+01 |  5.59e+01
  404230 |  1.68e-03 |     -- |  9.08e+00 |  1.14e+01 |     -- |  3.92e+01 |  5.69e+01
  408233 |  1.63e-03 |     -- |  8.84e+00 |  1.15e+01 |     -- |  3.84e+01 |  5.59e+01
  412236 |  1.66e-03 |     -- |  9.42e+00 |  1.20e+01 |     -- |  3.87e+01 |  5.63e+01
  416237 |  1.61e-03 |     -- |  1.10e+01 |  1.50e+01 |     -- |  3.77e+01 |  5.47e+01
  420238 |  1.63e-03 |     -- |  7.44e+00 |  9.64e+00 |     -- |  3.86e+01 |  5.63e+01
  424242 |  1.56e-03 |     -- |  8.50e+00 |  1.08e+01 |     -- |  3.78e+01 |  5.48e+01
  428242 |  1.58e-03 |     -- |  9.05e+00 |  1.15e+01 |     -- |  3.78e+01 |  5.50e+01
