Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  810023 |  8.33e-03 |     -- |  3.38e+01 |  7.69e+01 |     -- |  4.92e+01 |  1.03e+02
 1620035 |  3.19e-03 |     -- |  2.58e+01 |  6.43e+01 |     -- |  2.85e+01 |  4.74e+01
 2430058 |  2.95e-03 |     -- |  2.45e+01 |  6.42e+01 |     -- |  2.50e+01 |  4.22e+01
 3240067 |  2.84e-03 |     -- |  2.38e+01 |  6.36e+01 |     -- |  2.33e+01 |  4.05e+01
 4050093 |  2.67e-03 |     -- |  2.32e+01 |  6.29e+01 |     -- |  2.18e+01 |  3.72e+01
 4860096 |  2.63e-03 |     -- |  2.29e+01 |  6.27e+01 |     -- |  2.10e+01 |  3.62e+01
 5670107 |  2.59e-03 |     -- |  2.28e+01 |  6.27e+01 |     -- |  2.02e+01 |  3.52e+01
 6480124 |  2.55e-03 |     -- |  2.24e+01 |  6.25e+01 |     -- |  1.97e+01 |  3.46e+01
 7290133 |  2.52e-03 |     -- |  2.23e+01 |  6.25e+01 |     -- |  1.91e+01 |  3.37e+01
 8100139 |  2.50e-03 |     -- |  2.20e+01 |  6.24e+01 |     -- |  1.88e+01 |  3.33e+01
 8910166 |  2.49e-03 |     -- |  2.19e+01 |  6.24e+01 |     -- |  1.84e+01 |  3.29e+01
 9720174 |  2.47e-03 |     -- |  2.18e+01 |  6.23e+01 |     -- |  1.80e+01 |  3.26e+01
10530177 |  2.46e-03 |     -- |  2.16e+01 |  6.23e+01 |     -- |  1.79e+01 |  3.23e+01
11340178 |  2.45e-03 |     -- |  2.15e+01 |  6.22e+01 |     -- |  1.76e+01 |  3.19e+01
12150184 |  2.45e-03 |     -- |  2.15e+01 |  6.22e+01 |     -- |  1.74e+01 |  3.20e+01
12960186 |  2.44e-03 |     -- |  2.14e+01 |  6.22e+01 |     -- |  1.73e+01 |  3.19e+01
13770213 |  2.44e-03 |     -- |  2.14e+01 |  6.22e+01 |     -- |  1.72e+01 |  3.17e+01
14580232 |  2.42e-03 |     -- |  2.13e+01 |  6.22e+01 |     -- |  1.69e+01 |  3.13e+01
15390241 |  2.42e-03 |     -- |  2.13e+01 |  6.22e+01 |     -- |  1.68e+01 |  3.13e+01
16200258 |  2.83e-03 |     -- |  2.16e+01 |  6.44e+01 |     -- |  1.86e+01 |  3.88e+01
17010288 |  2.41e-03 |     -- |  2.12e+01 |  6.21e+01 |     -- |  1.64e+01 |  3.08e+01
17820311 |  2.40e-03 |     -- |  2.11e+01 |  6.21e+01 |     -- |  1.64e+01 |  3.07e+01
18630321 |  2.40e-03 |     -- |  2.11e+01 |  6.21e+01 |     -- |  1.64e+01 |  3.08e+01
19440332 |  2.42e-03 |     -- |  2.10e+01 |  6.21e+01 |     -- |  1.65e+01 |  3.12e+01
20250353 |  2.39e-03 |     -- |  2.10e+01 |  6.20e+01 |     -- |  1.61e+01 |  3.05e+01
21060372 |  2.40e-03 |     -- |  2.10e+01 |  6.21e+01 |     -- |  1.61e+01 |  3.06e+01
21870400 |  2.38e-03 |     -- |  2.10e+01 |  6.21e+01 |     -- |  1.59e+01 |  3.02e+01
22680413 |  2.38e-03 |     -- |  2.09e+01 |  6.20e+01 |     -- |  1.58e+01 |  3.02e+01
23490422 |  2.38e-03 |     -- |  2.08e+01 |  6.20e+01 |     -- |  1.57e+01 |  3.01e+01
24300427 |  2.37e-03 |     -- |  2.09e+01 |  6.20e+01 |     -- |  1.57e+01 |  2.99e+01
25110443 |  2.38e-03 |     -- |  2.08e+01 |  6.20e+01 |     -- |  1.56e+01 |  3.01e+01
25920448 |  2.37e-03 |     -- |  2.08e+01 |  6.20e+01 |     -- |  1.55e+01 |  2.98e+01
26730467 |  2.37e-03 |     -- |  2.08e+01 |  6.20e+01 |     -- |  1.55e+01 |  2.98e+01
27540497 |  2.37e-03 |     -- |  2.08e+01 |  6.20e+01 |     -- |  1.54e+01 |  2.98e+01
28350526 |  2.37e-03 |     -- |  2.07e+01 |  6.20e+01 |     -- |  1.54e+01 |  2.99e+01
29160549 |  2.36e-03 |     -- |  2.07e+01 |  6.20e+01 |     -- |  1.54e+01 |  2.97e+01
29970568 |  2.36e-03 |     -- |  2.06e+01 |  6.20e+01 |     -- |  1.52e+01 |  2.96e+01
30780597 |  2.36e-03 |     -- |  2.07e+01 |  6.20e+01 |     -- |  1.52e+01 |  2.96e+01
31590606 |  2.36e-03 |     -- |  2.06e+01 |  6.20e+01 |     -- |  1.51e+01 |  2.94e+01
32400621 |  2.35e-03 |     -- |  2.06e+01 |  6.20e+01 |     -- |  1.50e+01 |  2.94e+01
33210643 |  2.35e-03 |     -- |  2.06e+01 |  6.20e+01 |     -- |  1.50e+01 |  2.93e+01
34020666 |  2.35e-03 |     -- |  2.06e+01 |  6.20e+01 |     -- |  1.50e+01 |  2.93e+01
34830691 |  2.35e-03 |     -- |  2.06e+01 |  6.20e+01 |     -- |  1.49e+01 |  2.93e+01
35640717 |  2.35e-03 |     -- |  2.05e+01 |  6.20e+01 |     -- |  1.48e+01 |  2.93e+01
36450721 |  2.35e-03 |     -- |  2.05e+01 |  6.19e+01 |     -- |  1.49e+01 |  2.94e+01
37260725 |  2.34e-03 |     -- |  2.05e+01 |  6.19e+01 |     -- |  1.47e+01 |  2.90e+01
38070754 |  2.35e-03 |     -- |  2.05e+01 |  6.19e+01 |     -- |  1.48e+01 |  2.92e+01
38880771 |  2.34e-03 |     -- |  2.05e+01 |  6.19e+01 |     -- |  1.47e+01 |  2.91e+01
39690781 |  2.34e-03 |     -- |  2.05e+01 |  6.19e+01 |     -- |  1.47e+01 |  2.91e+01
40500796 |  2.34e-03 |     -- |  2.04e+01 |  6.19e+01 |     -- |  1.46e+01 |  2.90e+01
41310821 |  2.34e-03 |     -- |  2.05e+01 |  6.19e+01 |     -- |  1.46e+01 |  2.90e+01
42120841 |  2.33e-03 |     -- |  2.04e+01 |  6.19e+01 |     -- |  1.45e+01 |  2.89e+01
42930860 |  2.34e-03 |     -- |  2.04e+01 |  6.19e+01 |     -- |  1.45e+01 |  2.89e+01
43740889 |  2.34e-03 |     -- |  2.04e+01 |  6.19e+01 |     -- |  1.45e+01 |  2.90e+01
44550909 |  2.33e-03 |     -- |  2.04e+01 |  6.19e+01 |     -- |  1.45e+01 |  2.89e+01
45360912 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.44e+01 |  2.88e+01
46170923 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.44e+01 |  2.89e+01
46980929 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.87e+01
47790935 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.87e+01
48600960 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.43e+01 |  2.87e+01
49410967 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.44e+01 |  2.88e+01
50220980 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.43e+01 |  2.89e+01
51031010 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.86e+01
51841021 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.43e+01 |  2.87e+01
52651049 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.87e+01
53461073 |  2.33e-03 |     -- |  2.03e+01 |  6.19e+01 |     -- |  1.42e+01 |  2.87e+01
