Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
  810023 |  9.15e-03 |     -- |  2.44e+01 |  5.95e+01 |     -- |  5.34e+01 |  1.21e+02
 1620035 |  9.49e-04 |     -- |  9.09e+00 |  1.39e+01 |     -- |  2.50e+01 |  4.12e+01
 2430058 |  5.50e-04 |     -- |  6.68e+00 |  1.02e+01 |     -- |  1.92e+01 |  3.15e+01
 3240067 |  4.16e-04 |     -- |  5.53e+00 |  8.70e+00 |     -- |  1.63e+01 |  2.75e+01
 4050093 |  3.36e-04 |     -- |  4.80e+00 |  7.70e+00 |     -- |  1.44e+01 |  2.47e+01
 4860096 |  2.65e-04 |     -- |  4.20e+00 |  6.91e+00 |     -- |  1.29e+01 |  2.19e+01
 5670107 |  2.45e-04 |     -- |  3.85e+00 |  7.63e+00 |     -- |  1.19e+01 |  2.08e+01
 6480124 |  2.00e-04 |     -- |  3.34e+00 |  5.80e+00 |     -- |  1.08e+01 |  1.91e+01
 7290133 |  1.77e-04 |     -- |  3.29e+00 |  5.60e+00 |     -- |  1.03e+01 |  1.79e+01
 8100139 |  1.60e-04 |     -- |  3.07e+00 |  5.25e+00 |     -- |  9.78e+00 |  1.71e+01
 8910166 |  1.51e-04 |     -- |  2.93e+00 |  5.09e+00 |     -- |  9.26e+00 |  1.66e+01
 9720174 |  1.38e-04 |     -- |  2.83e+00 |  4.94e+00 |     -- |  8.91e+00 |  1.58e+01
10530177 |  1.27e-04 |     -- |  2.72e+00 |  4.63e+00 |     -- |  8.60e+00 |  1.52e+01
11340178 |  1.19e-04 |     -- |  2.60e+00 |  4.53e+00 |     -- |  8.32e+00 |  1.48e+01
12150184 |  1.15e-04 |     -- |  2.48e+00 |  4.40e+00 |     -- |  8.04e+00 |  1.45e+01
12960186 |  1.17e-04 |     -- |  2.40e+00 |  4.49e+00 |     -- |  7.90e+00 |  1.46e+01
13770213 |  3.40e-04 |     -- |  3.29e+00 |  1.45e+01 |     -- |  1.03e+01 |  2.17e+01
14580232 |  1.42e-04 |     -- |  2.70e+00 |  6.95e+00 |     -- |  8.27e+00 |  1.53e+01
15390241 |  1.01e-04 |     -- |  2.40e+00 |  4.41e+00 |     -- |  7.46e+00 |  1.35e+01
16200258 |  9.55e-05 |     -- |  2.27e+00 |  4.24e+00 |     -- |  7.25e+00 |  1.32e+01
17010288 |  9.29e-05 |     -- |  2.14e+00 |  4.07e+00 |     -- |  7.00e+00 |  1.30e+01
17820311 |  8.57e-05 |     -- |  2.19e+00 |  4.02e+00 |     -- |  6.85e+00 |  1.25e+01
18630321 |  8.51e-05 |     -- |  2.13e+00 |  3.99e+00 |     -- |  6.78e+00 |  1.24e+01
19440332 |  8.26e-05 |     -- |  2.10e+00 |  3.91e+00 |     -- |  6.62e+00 |  1.22e+01
20250353 |  7.64e-05 |     -- |  2.02e+00 |  3.80e+00 |     -- |  6.43e+00 |  1.18e+01
21060372 |  7.34e-05 |     -- |  2.01e+00 |  3.69e+00 |     -- |  6.38e+00 |  1.16e+01
21870400 |  7.66e-05 |     -- |  1.93e+00 |  3.75e+00 |     -- |  6.27e+00 |  1.18e+01
22680413 |  7.18e-05 |     -- |  1.91e+00 |  3.64e+00 |     -- |  6.15e+00 |  1.14e+01
23490422 |  7.09e-05 |     -- |  1.88e+00 |  3.61e+00 |     -- |  6.06e+00 |  1.13e+01
24300427 |  6.73e-05 |     -- |  1.85e+00 |  3.51e+00 |     -- |  6.02e+00 |  1.10e+01
25110443 |  7.12e-05 |     -- |  1.81e+00 |  3.63e+00 |     -- |  5.96e+00 |  1.14e+01
25920448 |  6.59e-05 |     -- |  1.76e+00 |  3.52e+00 |     -- |  5.81e+00 |  1.09e+01
26730467 |  6.47e-05 |     -- |  1.78e+00 |  3.49e+00 |     -- |  5.73e+00 |  1.08e+01
27540497 |  6.47e-05 |     -- |  1.77e+00 |  3.43e+00 |     -- |  5.69e+00 |  1.08e+01
28350526 |  6.43e-05 |     -- |  1.74e+00 |  3.42e+00 |     -- |  5.67e+00 |  1.08e+01
29160549 |  5.64e-05 |     -- |  1.72e+00 |  3.38e+00 |     -- |  5.45e+00 |  1.01e+01
29970568 |  5.64e-05 |     -- |  1.67e+00 |  3.31e+00 |     -- |  5.38e+00 |  1.01e+01
30780597 |  5.55e-05 |     -- |  1.68e+00 |  3.31e+00 |     -- |  5.35e+00 |  1.00e+01
31590606 |  5.93e-05 |     -- |  1.66e+00 |  3.34e+00 |     -- |  5.33e+00 |  1.03e+01
32400621 |  5.80e-05 |     -- |  1.65e+00 |  3.35e+00 |     -- |  5.33e+00 |  1.02e+01
33210643 |  5.86e-05 |     -- |  1.57e+00 |  3.36e+00 |     -- |  5.19e+00 |  1.03e+01
34020666 |  5.54e-05 |     -- |  1.60e+00 |  3.29e+00 |     -- |  5.16e+00 |  9.98e+00
34830691 |  5.10e-05 |     -- |  1.60e+00 |  3.16e+00 |     -- |  5.10e+00 |  9.57e+00
35640717 |  5.01e-05 |     -- |  1.55e+00 |  3.18e+00 |     -- |  5.00e+00 |  9.50e+00
36450721 |  5.81e-05 |     -- |  1.53e+00 |  3.36e+00 |     -- |  5.07e+00 |  1.02e+01
37260725 |  4.90e-05 |     -- |  1.53e+00 |  3.12e+00 |     -- |  4.94e+00 |  9.41e+00
38070754 |  4.82e-05 |     -- |  1.51e+00 |  3.10e+00 |     -- |  4.89e+00 |  9.33e+00
38880771 |  4.71e-05 |     -- |  1.49e+00 |  3.13e+00 |     -- |  4.86e+00 |  9.21e+00
39690781 |  4.82e-05 |     -- |  1.47e+00 |  3.09e+00 |     -- |  4.79e+00 |  9.29e+00
40500796 |  4.73e-05 |     -- |  1.48e+00 |  3.06e+00 |     -- |  4.81e+00 |  9.23e+00
41310821 |  4.84e-05 |     -- |  1.41e+00 |  3.03e+00 |     -- |  4.71e+00 |  9.29e+00
42120841 |  4.67e-05 |     -- |  1.45e+00 |  3.07e+00 |     -- |  4.73e+00 |  9.16e+00
42930860 |  4.48e-05 |     -- |  1.42e+00 |  3.04e+00 |     -- |  4.64e+00 |  9.02e+00
43740889 |  4.61e-05 |     -- |  1.39e+00 |  3.01e+00 |     -- |  4.63e+00 |  9.13e+00
44550909 |  4.35e-05 |     -- |  1.36e+00 |  2.94e+00 |     -- |  4.60e+00 |  8.85e+00
45360912 |  4.40e-05 |     -- |  1.37e+00 |  2.96e+00 |     -- |  4.53e+00 |  8.90e+00
46170923 |  4.55e-05 |     -- |  1.36e+00 |  2.99e+00 |     -- |  4.52e+00 |  9.05e+00
46980929 |  4.29e-05 |     -- |  1.38e+00 |  2.96e+00 |     -- |  4.50e+00 |  8.78e+00
47790935 |  4.12e-05 |     -- |  1.31e+00 |  2.89e+00 |     -- |  4.39e+00 |  8.59e+00
48600960 |  4.18e-05 |     -- |  1.35e+00 |  2.93e+00 |     -- |  4.41e+00 |  8.63e+00
49410967 |  4.60e-05 |     -- |  1.28e+00 |  2.97e+00 |     -- |  4.38e+00 |  9.06e+00
50220980 |  4.06e-05 |     -- |  1.25e+00 |  2.83e+00 |     -- |  4.30e+00 |  8.53e+00
51031010 |  3.91e-05 |     -- |  1.30e+00 |  2.86e+00 |     -- |  4.32e+00 |  8.43e+00
51841021 |  4.13e-05 |     -- |  1.30e+00 |  2.88e+00 |     -- |  4.31e+00 |  8.56e+00
52651049 |  4.06e-05 |     -- |  1.23e+00 |  2.87e+00 |     -- |  4.24e+00 |  8.60e+00
53461073 |  4.19e-05 |     -- |  1.25e+00 |  2.89e+00 |     -- |  4.23e+00 |  8.66e+00
54271079 |  3.96e-05 |     -- |  1.23e+00 |  2.85e+00 |     -- |  4.19e+00 |  8.43e+00
55081105 |  3.64e-05 |     -- |  1.26e+00 |  2.79e+00 |     -- |  4.13e+00 |  8.10e+00
