struct_id,dihedral_deg,n_atoms,e_total,e_short_eff,e_long_eff,e_long_raw,f_long_over_f_total,q0_mean,q0_abs_mean,q0_std,q1_norm_mean,q1_norm_max,q2_norm_mean,q2_norm_max,q_abs_mean_all_channels
0,83.42481930851925,13,-2.1504783630371094,38.73833179473877,-40.88881015777588,-4.088881015777588,0.007399584166705608,-0.14724412560462952,0.14724412560462952,0.01781623624265194,2.2000938315613894e-06,5.961383976682555e-06,3.911233761755284e-06,5.9294075072102714e-06,0.016361530870199203
1,83.51375778436027,13,-2.1504783630371094,38.73833179473877,-40.88881015777588,-4.088881015777588,0.007399576250463724,-0.14724411070346832,0.14724411070346832,0.017816241830587387,2.1997470867063385e-06,5.961384431429906e-06,3.912071406375617e-06,5.9294070524629205e-06,0.016361529007554054
2,83.60271179666562,13,-2.1504783630371094,38.73833179473877,-40.88881015777588,-4.088881015777588,0.007399588357657194,-0.14724412560462952,0.14724412560462952,0.01781623438000679,2.1993994323565857e-06,5.961384886177257e-06,3.912908596248599e-06,5.9294070524629205e-06,0.016361530870199203
3,83.69168218714043,13,-2.1504783630371094,38.73833179473877,-40.88881015777588,-4.088881015777588,0.007399653550237417,-0.14724412560462952,0.14724412560462952,0.017816241830587387,2.1990520053805085e-06,5.961384886177257e-06,3.913745786121581e-06,5.9294070524629205e-06,0.016361530870199203
4,83.7806685757748,13,-2.1504745483398438,38.738335609436035,-40.88881015777588,-4.088881015777588,0.0073996251448988914,-0.14724412560462952,0.14724412560462952,0.017816249281167984,2.1987032141623786e-06,5.961384431429906e-06,3.914582521247212e-06,5.92940659771557e-06,0.016361530870199203
5,83.86967062145865,13,-2.150482177734375,38.738327980041504,-40.88881015777588,-4.088881015777588,0.007399684749543667,-0.1472441405057907,0.1472441405057907,0.01781625486910343,2.198355105065275e-06,5.961384886177257e-06,3.915418801625492e-06,5.92940659771557e-06,0.016361530870199203
6,83.95868846283588,13,-2.150482177734375,38.738327980041504,-40.88881015777588,-4.088881015777588,0.0073997643776237965,-0.14724412560462952,0.14724412560462952,0.017816264182329178,2.1980060864734696e-06,5.961384431429906e-06,3.916254627256421e-06,5.92940659771557e-06,0.016361530870199203
7,84.04772298530942,13,-2.150482177734375,38.738327980041504,-40.88881015777588,-4.088881015777588,0.0073998430743813515,-0.1472441554069519,0.1472441554069519,0.017816275358200073,2.1976561583869625e-06,5.961384886177257e-06,3.917089543392649e-06,5.931086434429744e-06,0.016361532732844353
8,84.13677319517468,13,-2.1504783630371094,38.73833179473877,-40.88881015777588,-4.088881015777588,0.007399789988994598,-0.1472441554069519,0.1472441554069519,0.01781628653407097,2.1973062303004554e-06,5.961383976682555e-06,3.917924004781526e-06,5.9404778767202515e-06,0.016361530870199203
9,84.22583938789188,13,-2.150482177734375,38.738327980041504,-40.88881015777588,-4.088881015777588,0.007400005590170622,-0.1472441703081131,0.1472441703081131,0.017816301435232162,2.196956756961299e-06,5.961384431429906e-06,3.918758920917753e-06,5.949869319010759e-06,0.016361534595489502
10,84.31492104168031,13,-2.150482177734375,38.738327980041504,-40.88881015777588,-4.088881015777588,0.007400128524750471,-0.1472441852092743,0.1472441852092743,0.017816316336393356,2.19660591938009e-06,5.961384431429906e-06,3.919592018064577e-06,5.959256668575108e-06,0.016361534595489502
