global_epoch,stage,phase,stage_epoch,lr_weight,sr_weight,n_structures,amp_ref_rel,amp_pred_total_rel,amp_pred_long_rel,amp_pred_short_rel,corr_total_vs_ref,corr_long_vs_ref,mean_f_long_over_total,mean_q0_abs,mean_q1_norm,mean_q2_norm
10,1,joint_warmup,10,10.0,1.0,1000,0.742828369140625,0.012180328369140625,0.0,0.012180328369140625,-0.23891851041297896,nan,0.007420904855709523,0.15064045065641404,0.00017768775223521517,0.00036445700356853197
20,1,joint_warmup,20,10.0,1.0,1000,0.742828369140625,0.007030487060546875,4.76837158203125e-06,0.007030487060546875,0.23799271797684673,0.034493905074629384,0.003986866880441084,0.15341297142207622,0.00016760804402292707,0.00039227119201677853
30,1,joint_warmup,30,10.0,1.0,1000,0.742828369140625,0.006885528564453125,9.5367431640625e-06,0.0068759918212890625,0.2381283144423023,0.23164807334716792,0.004427167336456477,0.15284862886369227,0.00017331639472104143,0.0004319845617865212
40,1,joint_warmup,40,10.0,1.0,1000,0.742828369140625,0.0058441162109375,0.0,0.0058441162109375,0.23746297402091227,nan,0.0025356031600385904,0.15225119985640048,0.0001690474634815473,0.00043200955862994305
50,1,joint_warmup,50,10.0,1.0,1000,0.742828369140625,0.013004302978515625,0.0,0.013004302978515625,0.23861422407102836,nan,0.0028727355543524025,0.14812394884228705,0.00016464717815688345,0.00042324789095437155
60,1,joint_warmup,60,10.0,1.0,1000,0.742828369140625,0.00617218017578125,0.0,0.00617218017578125,0.2378595234094781,nan,0.003594232101459056,0.14592079330980778,0.0001668065538397059,0.0004228226451668888
70,1,joint_warmup,70,10.0,1.0,1000,0.742828369140625,0.01012420654296875,4.76837158203125e-06,0.010119438171386719,0.23843751440381628,0.21746739261229037,0.00453382646664977,0.14418488647043706,0.00016614228105754593,0.00041696880775270986
75,1,joint_warmup,75,10.0,1.0,1000,0.742828369140625,0.010417938232421875,0.0,0.010417938232421875,0.23818070025915095,nan,0.003874691357370466,0.1446952129751444,0.00016729223349830135,0.00041608882319997065
80,2,lr_focus_strict,5,10.0,0.0,1000,0.742828369140625,2.6702880859375e-05,2.86102294921875e-05,2.86102294921875e-06,0.2408856186274305,0.24310864483238775,0.9999999990463256,0.4496443681716919,0.0001706317945063347,0.0004247998457576614
90,2,lr_focus_strict,15,10.0,0.0,1000,0.742828369140625,0.0,0.0,0.0,nan,nan,1.000000015079975,0.8819965174794198,0.00018924814528145363,0.00047783022379735483
100,2,lr_focus_strict,25,10.0,0.0,1000,0.742828369140625,0.12033998966217041,0.12033641338348389,1.043081283569336e-05,-0.5939708700295286,-0.5939708107049154,1.0000000009536743,1.245749910235405,2.4027380394935607,9.326171369552613
110,2,lr_focus_strict,35,10.0,0.0,1000,0.742828369140625,0.1648116111755371,0.1648104190826416,1.0967254638671875e-05,0.6530064259066477,0.6530054323260059,1.0000000855326652,1.23722984790802,2.9553219623565674,8.932022426605224
120,2,lr_focus_strict,45,10.0,0.0,1000,0.742828369140625,0.18150806427001953,0.18151193857192993,9.5367431640625e-06,0.7764515936208154,0.7764522435294465,0.9999999926686287,1.2160810251235963,3.4531115255355833,9.32064590358734
130,2,lr_focus_strict,55,10.0,0.0,1000,0.742828369140625,0.167122483253479,0.16712099313735962,9.238719940185547e-06,0.6766825635646389,0.6766827490213271,0.9999999873042107,1.2009197677373886,3.6880735030174256,9.222312014579773
140,2,lr_focus_strict,65,10.0,0.0,1000,0.742828369140625,0.17080843448638916,0.17080634832382202,9.894371032714844e-06,0.7486291787904614,0.7486286935370681,1.0000207343101502,1.2025452485084533,3.7367323908805847,9.047912006378175
150,2,lr_focus_strict,75,10.0,0.0,1000,0.742828369140625,0.14764821529388428,0.14765232801437378,1.0728836059570312e-05,0.6874653992867588,0.6874652380833383,0.9999999705553054,1.1929047616720199,3.9433046355247496,9.021398072242738
160,2,lr_focus_strict,85,10.0,0.0,1000,0.742828369140625,0.14388537406921387,0.14388203620910645,9.834766387939453e-06,0.7133735893894038,0.7133717405460926,0.9999999682307243,1.1888826839923858,4.117701318740845,9.046663313865661
170,2,lr_focus_strict,95,10.0,0.0,1000,0.742828369140625,0.13307452201843262,0.13307243585586548,1.0788440704345703e-05,0.7450904920588546,0.7450888479439693,0.9999999840259552,1.1865922453403472,4.153346144676209,8.931634499549865
180,2,lr_focus_strict,105,10.0,0.0,1000,0.742828369140625,0.11449694633483887,0.1144951581954956,1.0788440704345703e-05,0.8093707265349982,0.8093700779999093,0.9999999595284462,1.1844355769157409,4.344913001060486,8.897812527656555
190,2,lr_focus_strict,115,10.0,0.0,1000,0.742828369140625,0.10944187641143799,0.10944336652755737,8.940696716308594e-06,0.8674040998590329,0.8674039915878552,0.9999999858736992,1.1840266021490098,4.550103741645813,9.057327511787415
200,2,lr_focus_strict,125,10.0,0.0,1000,0.742828369140625,0.08411192893981934,0.08411169052124023,1.0728836059570312e-05,0.867322001953754,0.8673239043101418,1.000000003695488,1.179959247469902,4.611116314411164,8.974192125320435
