train,"{'mae': 0.6517850160598755, 'rmse': 1.357717514038086}","{'mae': 1.10565185546875, 'rmse': 2.4824178218841553}"
val,"{'mae': 0.02302146516740322, 'rmse': 0.029434433206915855}","{'mae': 0.3212425112724304, 'rmse': 0.4318462610244751}"
train,"{'mae': 0.029945101588964462, 'rmse': 0.037472717463970184}","{'mae': 0.2871816158294678, 'rmse': 0.3963432312011719}"
val,"{'mae': 0.01738271303474903, 'rmse': 0.02076096646487713}","{'mae': 0.24560296535491943, 'rmse': 0.32516875863075256}"
train,"{'mae': 0.027006521821022034, 'rmse': 0.033506572246551514}","{'mae': 0.2327570915222168, 'rmse': 0.3136424422264099}"
val,"{'mae': 0.017991643399000168, 'rmse': 0.024541174992918968}","{'mae': 0.2151309847831726, 'rmse': 0.27802932262420654}"
train,"{'mae': 0.026102766394615173, 'rmse': 0.03264553099870682}","{'mae': 0.21709801256656647, 'rmse': 0.2897871136665344}"
val,"{'mae': 0.0229713823646307, 'rmse': 0.029099468141794205}","{'mae': 0.20251823961734772, 'rmse': 0.2623233497142792}"
train,"{'mae': 0.025130048394203186, 'rmse': 0.03138944134116173}","{'mae': 0.20482465624809265, 'rmse': 0.2719670534133911}"
val,"{'mae': 0.031333569437265396, 'rmse': 0.03619083762168884}","{'mae': 0.18554380536079407, 'rmse': 0.24004872143268585}"
train,"{'mae': 0.02630968578159809, 'rmse': 0.032998524606227875}","{'mae': 0.19769732654094696, 'rmse': 0.26169252395629883}"
val,"{'mae': 0.03751172870397568, 'rmse': 0.0405750498175621}","{'mae': 0.18228715658187866, 'rmse': 0.24358350038528442}"
train,"{'mae': 0.022662153467535973, 'rmse': 0.02873873896896839}","{'mae': 0.1923610121011734, 'rmse': 0.2536310851573944}"
val,"{'mae': 0.015482784248888493, 'rmse': 0.02137913927435875}","{'mae': 0.17806857824325562, 'rmse': 0.23002351820468903}"
train,"{'mae': 0.02263151854276657, 'rmse': 0.028397204354405403}","{'mae': 0.18690624833106995, 'rmse': 0.24596281349658966}"
val,"{'mae': 0.02253158763051033, 'rmse': 0.025418687611818314}","{'mae': 0.17919746041297913, 'rmse': 0.23567640781402588}"
train,"{'mae': 0.019810020923614502, 'rmse': 0.025142185389995575}","{'mae': 0.18565590679645538, 'rmse': 0.2438841164112091}"
val,"{'mae': 0.012781927362084389, 'rmse': 0.0183104295283556}","{'mae': 0.18165720999240875, 'rmse': 0.23306384682655334}"
train,"{'mae': 0.020759157836437225, 'rmse': 0.026271747425198555}","{'mae': 0.17903152108192444, 'rmse': 0.23413769900798798}"
val,"{'mae': 0.018351860344409943, 'rmse': 0.02423853613436222}","{'mae': 0.191702201962471, 'rmse': 0.24318672716617584}"
train,"{'mae': 0.019557809457182884, 'rmse': 0.024558547884225845}","{'mae': 0.17653605341911316, 'rmse': 0.23048478364944458}"
val,"{'mae': 0.016193119809031487, 'rmse': 0.018559260293841362}","{'mae': 0.16042107343673706, 'rmse': 0.20917798578739166}"
train,"{'mae': 0.019427809864282608, 'rmse': 0.024606743827462196}","{'mae': 0.17700634896755219, 'rmse': 0.2315833866596222}"
val,"{'mae': 0.01096839178353548, 'rmse': 0.0147787444293499}","{'mae': 0.16444198787212372, 'rmse': 0.21404114365577698}"
train,"{'mae': 0.018254809081554413, 'rmse': 0.02317817509174347}","{'mae': 0.16971130669116974, 'rmse': 0.22160296142101288}"
