global_epoch,stage,stage_epoch,lr_weight,std_q,mean_abs_q,std_q_dipole,std_q_quadrupole,f_long_over_f_total,e_long_over_e_total
10,1,10,1.0,0.0395631876243317,0.014274163833031287,0.0008150844834953225,0.0012259487571655086,5.220466748035542e-05,4.086736698652361
20,1,20,1.0,0.031343090522197775,0.011551437606159438,0.0011840499218255822,0.0013491652619090745,5.6488954292936236e-05,4.184325283823662
30,1,30,1.0,0.02955597133918807,0.010893587047218257,0.0012526837825269463,0.0012875559305630068,5.549400030072002e-05,4.106852157271228
40,1,40,1.0,0.028683790323609504,0.01060451538542397,0.001345088047552769,0.0012283086480064241,5.589643122795476e-05,3.9574793053193797
50,1,50,1.0,0.028391914039801326,0.010514262737371983,0.00138221362196458,0.0012668587259143823,5.3588133862010766e-05,4.111899705099108
60,1,60,1.0,0.02811920143323749,0.010444517673590245,0.0014264752393708619,0.00124676419844,5.144711696822002e-05,4.083348503283855
70,1,70,1.0,0.028168807092020843,0.010466927552834536,0.0014434912792860746,0.0012763731752988997,5.122932834199873e-05,4.009162863400796
80,1,80,1.0,0.028280890163742363,0.010495795502621903,0.0014674056851707448,0.0012691110516545067,5.05419903208505e-05,4.004823917135156
90,1,90,1.0,0.028322192203571135,0.010506787552792801,0.0014706290323214827,0.0012748008138934025,5.038320384593035e-05,4.05775861220057
100,1,100,1.0,0.02838314181144017,0.010530321227179633,0.0014902857653800478,0.001277598832886603,5.008062627449199e-05,4.002120061987765
110,1,110,1.0,0.02844212309257205,0.010543743149847047,0.0014892299055392693,0.0012748435307540168,4.9988781816111386e-05,4.088900566803128
120,1,120,1.0,0.028464252421857784,0.010550161671434712,0.0014938060121864741,0.0012782866838715568,5.003003958539564e-05,4.104661842362452
130,1,130,1.0,0.028490685785027583,0.010558533497345753,0.0014974618169457006,0.0012773352013669588,4.9972372962544334e-05,4.085987735800533
140,1,140,1.0,0.028509604746168687,0.01056311517699152,0.0014999373100859307,0.0012780506772458206,4.987881510742684e-05,4.047711063355671
150,1,150,1.0,0.028542549480982154,0.010575834257989867,0.0015000109858368806,0.0012780157339374132,4.993356251484906e-05,4.074510177757276
160,1,160,1.0,0.028563520363567397,0.01058037545130803,0.0015004821173232165,0.0012769543432326897,4.988356062513966e-05,4.107825337417721
170,1,170,1.0,0.02857179891119537,0.010583051388080304,0.0015009844377023873,0.0012770756869495178,4.987895396387928e-05,4.087002211045109
180,1,180,1.0,0.02857423783928539,0.01058248686994243,0.0015008261263212727,0.0012770683234872714,4.9879398143384975e-05,4.088297762188122
190,1,190,1.0,0.028588296913895618,0.010589080517108624,0.0015013500366151042,0.0012777315961273199,4.990702206485291e-05,4.080257404505588
200,1,200,1.0,0.02858198291355813,0.010586166316627437,0.0015016597498435965,0.0012778359307098744,4.991994713370433e-05,4.076694612547279
210,2,10,5.0,0.025750131354362424,0.009612661483960274,0.0016813764867609474,0.0014906940888302072,0.00024608369543887215,20.23729788885139
220,2,20,5.0,0.025871804649119232,0.009644480819376106,0.0016767025930388938,0.0014844588881506595,0.0002428008690223198,20.16520529836304
230,2,30,5.0,0.025899493102344635,0.009650901126046467,0.0016753914471380298,0.0014822677542047024,0.00024201324947754272,20.137931663280366
240,2,40,5.0,0.025914884834536304,0.009655662275787093,0.0016748153627438533,0.0014815819288840411,0.00024160552232926818,20.126734172609073
250,2,50,5.0,0.025923025547423064,0.009657663060049726,0.0016743699170205977,0.0014810348841379191,0.00024149219117664713,20.11951638207998
260,2,60,5.0,0.025931029352961807,0.009660194886036408,0.0016741012122572603,0.00148073491586859,0.00024134661293320108,20.119965269793934
270,2,70,5.0,0.025935706746061857,0.00966171571943495,0.0016738521616509877,0.0014805005687151679,0.00024132431565616503,20.155542633240994
280,2,80,5.0,0.025937243857169837,0.009662301332522662,0.0016738151712446794,0.0014804225022188532,0.00024125849987155634,20.14899622062026
290,2,90,5.0,0.025937082702450702,0.009662057550544412,0.001673681356240047,0.0014804035059254768,0.00024123454271220902,20.13474171067251
300,2,100,5.0,0.025938075560859728,0.009662405584612463,0.0016735580004765503,0.0014803497162512577,0.000241206243043123,20.140416129699222
310,3,10,10.0,0.025775081809083278,0.009599044636783436,0.0016778518061387787,0.0014884875904662082,0.0004829016760179102,2.098727453156116
320,3,20,10.0,0.025593723549486355,0.009527902358617538,0.0016827435837239466,0.0014977501303997964,0.00048404729914976825,2.2080238779991164
330,3,30,10.0,0.025513310004097095,0.009495983637296236,0.0016852843324697661,0.0015020966563338452,0.000484970392673159,2.26644401019298
340,3,40,10.0,0.025433719545244628,0.00946427374619704,0.0016877805557861216,0.0015064082283917444,0.00048601667537793406,2.3278383777806253
