atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,8.0723866820e-02,-2.4162702903e-04,3.9148045471e-04,1.4509136292e-07,7.6297274791e-04,3.0446192250e-03,-3.8725601044e-03,5.1336693577e-03,2.4642935023e-03,-4.1198600084e-03,-3.5595723987e-01,1.7112909257e-01
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,-2.7481010556e-01,-1.8281418306e-05,1.3854014469e-05,4.0037099097e-05,2.6554216674e-05,1.5550562239e-05,1.0520704564e-05,5.1699615142e-05,2.3733771741e-05,-1.1106043530e-05,-2.0761486888e-01,1.6713172197e-01
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,-2.5268259645e-01,-7.2603461376e-06,4.0573386286e-06,2.4972367100e-05,1.4443347027e-05,-8.9843197202e-06,-2.5043424102e-05,-4.6247188834e-07,1.5641753635e-05,-2.1393672796e-05,-2.7046951652e-01,1.5873178840e-01
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.3014657423e-02,-4.1559513193e-04,-1.0844753124e-03,-6.1929780059e-03,-8.7304343469e-04,1.2775581330e-02,5.5189046543e-04,4.8432269978e-05,-1.1644607410e-02,3.5581004340e-03,2.4116387963e-01,2.1767458320e-01
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0967595503e-02,-3.2096984796e-04,1.2821102282e-03,-1.8019526033e-03,-1.9277387764e-05,4.5476378873e-03,1.5388733009e-03,1.4748413814e-03,-2.7865876909e-03,3.6763011012e-03,-4.2105010152e-01,1.8300446868e-01
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-2.2132812068e-02,-3.6385576823e-04,-6.3934683567e-04,1.4983469155e-03,1.3184890850e-04,4.3929265812e-03,4.9917148426e-03,9.2196324840e-04,1.1129057966e-03,3.4189664293e-03,-4.0582045913e-01,1.8307788670e-01
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.3302252889e-02,-5.5438734125e-04,7.4370688526e-04,8.2574668340e-05,1.7499340465e-03,4.1302344762e-03,7.2282683104e-03,6.0919715906e-05,1.2534646085e-03,5.5351289921e-03,-4.4697627425e-01,1.7834655941e-01
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-3.6181613803e-02,-4.1103185504e-04,5.9622176923e-04,-8.6403812747e-04,-1.5723782417e-04,4.8985611647e-03,6.0329842381e-03,-1.4949672623e-03,1.3902429491e-03,5.3576449864e-03,-5.4419845343e-01,1.7376430333e-01
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-4.0948063135e-02,-3.7031958345e-04,3.8518126530e-05,-3.3914815867e-04,5.0229823682e-04,3.7925499491e-03,5.8199381456e-03,-2.0746551454e-03,6.0469354503e-03,3.1673654448e-03,-5.9271377325e-01,1.7099131644e-01
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-3.6638692021e-02,-4.1036962648e-04,-3.9449967444e-03,5.8612255380e-03,-1.8071334343e-03,5.6951455772e-03,1.1820106767e-02,-7.5452974997e-03,1.0912572965e-02,3.2758952584e-03,-2.1209573746e-01,1.9296303391e-01
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,-3.0973830819e-01,-3.6452220229e-05,1.6689273252e-05,-2.8302902138e-06,1.9656949917e-06,-1.4971168639e-05,-1.9072199393e-06,1.3670003796e-08,-1.4757598592e-06,7.3842338679e-06,-1.5810811520e-01,1.7413763702e-01
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,-2.8243154287e-01,-2.2630205422e-05,5.0548692343e-06,-2.6091098334e-05,1.2985036847e-05,-3.4655827221e-06,-7.3936848821e-07,6.5426166884e-07,-8.0204681581e-06,-5.1041242841e-06,-2.2806769609e-01,1.6462296247e-01
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,9.7606077790e-02,1.9253791834e-04,-1.8845574232e-03,2.0375617314e-03,-1.4149363851e-03,2.5186494458e-03,2.4194524158e-03,-6.7592679989e-04,-5.0283754244e-03,-6.1229267158e-03,9.4803757966e-02,1.9692471623e-01
