Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4005 |  1.24e-01 |     -- |  1.04e+02 |  1.46e+02 |     -- |  2.68e+02 |  4.77e+02
    8010 |  2.39e-02 |     -- |  4.27e+01 |  5.49e+01 |     -- |  1.61e+02 |  2.12e+02
   12015 |  1.89e-02 |     -- |  4.26e+01 |  5.32e+01 |     -- |  1.43e+02 |  1.87e+02
   16020 |  1.62e-02 |     -- |  3.17e+01 |  4.07e+01 |     -- |  1.32e+02 |  1.75e+02
   20025 |  1.48e-02 |     -- |  3.15e+01 |  4.01e+01 |     -- |  1.25e+02 |  1.68e+02
   24030 |  1.33e-02 |     -- |  2.76e+01 |  3.49e+01 |     -- |  1.18e+02 |  1.59e+02
   28035 |  1.28e-02 |     -- |  2.59e+01 |  3.24e+01 |     -- |  1.15e+02 |  1.57e+02
   32040 |  1.23e-02 |     -- |  2.83e+01 |  3.47e+01 |     -- |  1.12e+02 |  1.53e+02
   36045 |  1.12e-02 |     -- |  2.31e+01 |  2.87e+01 |     -- |  1.07e+02 |  1.47e+02
   40050 |  1.05e-02 |     -- |  2.34e+01 |  2.91e+01 |     -- |  1.03e+02 |  1.42e+02
   44055 |  9.46e-03 |     -- |  2.05e+01 |  2.58e+01 |     -- |  9.75e+01 |  1.35e+02
   48060 |  9.11e-03 |     -- |  2.25e+01 |  2.83e+01 |     -- |  9.51e+01 |  1.32e+02
   52065 |  8.59e-03 |     -- |  2.33e+01 |  2.82e+01 |     -- |  9.15e+01 |  1.28e+02
   56070 |  8.08e-03 |     -- |  1.67e+01 |  2.15e+01 |     -- |  8.95e+01 |  1.25e+02
   60075 |  7.42e-03 |     -- |  2.10e+01 |  2.58e+01 |     -- |  8.41e+01 |  1.19e+02
   64080 |  7.16e-03 |     -- |  1.94e+01 |  2.39e+01 |     -- |  8.29e+01 |  1.17e+02
   68085 |  6.69e-03 |     -- |  1.59e+01 |  2.07e+01 |     -- |  7.98e+01 |  1.14e+02
   72090 |  6.37e-03 |     -- |  1.48e+01 |  1.90e+01 |     -- |  7.78e+01 |  1.11e+02
   76095 |  6.14e-03 |     -- |  1.92e+01 |  2.41e+01 |     -- |  7.51e+01 |  1.08e+02
   80100 |  5.85e-03 |     -- |  1.47e+01 |  1.84e+01 |     -- |  7.40e+01 |  1.07e+02
   84105 |  5.57e-03 |     -- |  1.68e+01 |  2.10e+01 |     -- |  7.13e+01 |  1.03e+02
   88110 |  5.35e-03 |     -- |  1.39e+01 |  1.69e+01 |     -- |  7.03e+01 |  1.02e+02
   92115 |  5.22e-03 |     -- |  1.55e+01 |  1.96e+01 |     -- |  6.87e+01 |  1.00e+02
   96120 |  5.14e-03 |     -- |  1.64e+01 |  2.07e+01 |     -- |  6.81e+01 |  9.92e+01
  100125 |  4.88e-03 |     -- |  1.45e+01 |  1.83e+01 |     -- |  6.63e+01 |  9.71e+01
  104130 |  4.70e-03 |     -- |  1.26e+01 |  1.58e+01 |     -- |  6.51e+01 |  9.56e+01
  108135 |  4.62e-03 |     -- |  1.51e+01 |  1.89e+01 |     -- |  6.40e+01 |  9.42e+01
  112140 |  4.41e-03 |     -- |  1.20e+01 |  1.52e+01 |     -- |  6.28e+01 |  9.26e+01
  116145 |  4.40e-03 |     -- |  1.45e+01 |  1.79e+01 |     -- |  6.25e+01 |  9.21e+01
  120150 |  4.18e-03 |     -- |  1.13e+01 |  1.42e+01 |     -- |  6.11e+01 |  9.03e+01
  124155 |  4.07e-03 |     -- |  1.23e+01 |  1.57e+01 |     -- |  6.00e+01 |  8.88e+01
  128160 |  4.04e-03 |     -- |  1.21e+01 |  1.53e+01 |     -- |  5.97e+01 |  8.85e+01
  132165 |  4.08e-03 |     -- |  1.24e+01 |  1.59e+01 |     -- |  6.01e+01 |  8.89e+01
  136170 |  3.91e-03 |     -- |  1.18e+01 |  1.44e+01 |     -- |  5.93e+01 |  8.72e+01
  140175 |  3.88e-03 |     -- |  1.22e+01 |  1.53e+01 |     -- |  5.86e+01 |  8.68e+01
  144180 |  3.71e-03 |     -- |  1.13e+01 |  1.42e+01 |     -- |  5.73e+01 |  8.49e+01
  148185 |  3.71e-03 |     -- |  1.13e+01 |  1.43e+01 |     -- |  5.72e+01 |  8.50e+01
  152190 |  3.77e-03 |     -- |  1.16e+01 |  1.44e+01 |     -- |  5.76e+01 |  8.56e+01
  156195 |  3.61e-03 |     -- |  1.07e+01 |  1.32e+01 |     -- |  5.67e+01 |  8.39e+01
  160200 |  3.46e-03 |     -- |  1.06e+01 |  1.31e+01 |     -- |  5.54e+01 |  8.21e+01
  164205 |  3.48e-03 |     -- |  1.08e+01 |  1.33e+01 |     -- |  5.53e+01 |  8.24e+01
  168210 |  3.46e-03 |     -- |  9.97e+00 |  1.25e+01 |     -- |  5.51e+01 |  8.22e+01
  172215 |  3.43e-03 |     -- |  1.20e+01 |  1.48e+01 |     -- |  5.49e+01 |  8.15e+01
  176220 |  3.28e-03 |     -- |  1.01e+01 |  1.29e+01 |     -- |  5.37e+01 |  8.00e+01
  180225 |  3.35e-03 |     -- |  9.77e+00 |  1.22e+01 |     -- |  5.41e+01 |  8.10e+01
  184230 |  3.47e-03 |     -- |  9.97e+00 |  1.27e+01 |     -- |  5.51e+01 |  8.23e+01
  188235 |  3.35e-03 |     -- |  1.10e+01 |  1.38e+01 |     -- |  5.42e+01 |  8.06e+01
  192240 |  3.28e-03 |     -- |  1.09e+01 |  1.36e+01 |     -- |  5.34e+01 |  7.99e+01
  196245 |  3.25e-03 |     -- |  1.09e+01 |  1.39e+01 |     -- |  5.33e+01 |  7.94e+01
  200250 |  3.15e-03 |     -- |  1.03e+01 |  1.29e+01 |     -- |  5.24e+01 |  7.83e+01
  204255 |  3.09e-03 |     -- |  9.92e+00 |  1.27e+01 |     -- |  5.20e+01 |  7.76e+01
  208260 |  3.18e-03 |     -- |  1.00e+01 |  1.23e+01 |     -- |  5.28e+01 |  7.88e+01
  212265 |  3.14e-03 |     -- |  9.98e+00 |  1.25e+01 |     -- |  5.24e+01 |  7.83e+01
