atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.0511018038e-01,-2.5612754747e-02,1.0998286307e-02,-4.1507324204e-03,-7.1212314069e-03,6.5224748105e-03,-2.4020811543e-04,-2.5151131675e-02,-1.9296465442e-02,9.9412556738e-03,-3.9647713304e-01,1.2870872021e-01
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,4.3661065102e+00,-1.0240684496e-03,7.1271583438e-03,2.0324226352e-04,5.1644970663e-03,-1.9157575443e-03,-1.4613420353e-04,-9.5000228612e-04,-4.0244875709e-04,-2.5684718275e-04,-2.3828777671e-01,1.6995121539e-01
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,4.3813633919e+00,-1.3942815131e-03,-6.4382152632e-03,4.5905723237e-03,7.9367659055e-05,-5.0212285714e-04,1.0340054287e-03,-1.4203975443e-03,-9.3432213180e-04,9.8990416154e-04,-2.4389648438e-01,1.6990807652e-01
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-8.9443653822e-01,-4.4862192124e-02,1.4674346149e-01,3.0517898500e-02,1.9692407921e-02,-1.8694579601e-02,4.6331200749e-02,-6.3081622124e-02,-1.2562651187e-02,9.4837173820e-03,-8.7296590209e-02,1.4120383561e-01
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-8.9672309160e-01,-2.1917290986e-01,2.1820429713e-02,1.7141176760e-01,5.7337637991e-02,3.0410444364e-02,-8.3544567227e-02,-4.5983323455e-01,-1.8343628943e-01,1.8906556070e-01,1.6736008227e-01,1.6040110588e-01
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-8.9343351126e-01,-1.5891550779e+00,-2.2864860296e-01,-1.1742822081e-01,-7.3992431164e-02,-1.8321898580e-01,6.5217673779e-01,2.4081208706e+00,1.5458683968e+00,-9.2437392473e-01,1.2602095306e-01,2.4257216603e-02
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.0956073999e-01,-1.0424301028e-02,1.0752930306e-02,-9.6837626770e-03,2.8780465946e-02,1.6978250816e-02,2.6364173740e-02,-1.8920069560e-02,-9.5736589283e-03,-3.9311000146e-03,-1.6470663249e-02,1.2099716812e-01
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.1009789705e-01,-1.2454515696e+00,-1.9068868831e-02,2.7983385324e-01,-8.2991957664e-02,3.8678196073e-01,5.6978446245e-01,-8.5948866606e-01,-7.0475041866e-01,-1.9690726995e+00,-1.0857552290e-02,4.8842780292e-02
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.0916281939e-01,-1.7506709695e-01,8.0656014383e-02,-1.6871361434e-01,2.8697118163e-02,-1.0774970055e-01,-1.1949189007e-01,1.1295901239e-01,1.5484514832e-01,3.8108342886e-01,-2.0094193518e-02,1.5653826296e-01
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.1102200747e-01,-2.0118378103e-02,1.0888899118e-01,-4.9423884600e-02,-6.7217047326e-03,-6.4720511436e-03,-3.3184953034e-02,2.0335961133e-02,1.2849031948e-02,1.2743656524e-02,-2.3264715075e-01,1.4544753730e-01
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,4.3578839302e+00,-6.2964484096e-04,7.0416256785e-03,2.5606059353e-05,3.3579490264e-04,-2.4769373704e-04,-1.8182193162e-04,-5.7115717937e-05,3.8502214011e-04,6.2584632542e-04,-2.2166585922e-01,1.7087323964e-01
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,4.3627986908e+00,-8.0572650768e-04,-4.4019366615e-03,-4.5782681555e-03,1.7674269620e-03,-2.6976771187e-04,-3.4702615812e-04,3.4029738163e-04,7.9944444587e-04,7.2854454629e-04,-2.2950378060e-01,1.7102493346e-01
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-9.0575212240e-01,-2.7158144861e-02,3.9493940771e-02,-3.2799970359e-02,2.0450972021e-02,-4.6590729617e-03,2.7284477837e-03,-5.0642704591e-03,2.4094846100e-02,2.2712055594e-02,-1.0679062456e-01,1.3087020814e-01
