Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4005 |  1.03e-01 |     -- |  9.28e+01 |  1.26e+02 |     -- |  2.50e+02 |  4.36e+02
    8010 |  2.09e-02 |     -- |  4.70e+01 |  5.96e+01 |     -- |  1.48e+02 |  1.96e+02
   12015 |  1.42e-02 |     -- |  3.42e+01 |  4.41e+01 |     -- |  1.22e+02 |  1.63e+02
   16020 |  1.19e-02 |     -- |  3.43e+01 |  4.28e+01 |     -- |  1.11e+02 |  1.48e+02
   20025 |  1.04e-02 |     -- |  2.93e+01 |  3.71e+01 |     -- |  1.03e+02 |  1.40e+02
   24030 |  9.99e-03 |     -- |  3.05e+01 |  3.80e+01 |     -- |  1.00e+02 |  1.36e+02
   28035 |  9.49e-03 |     -- |  2.75e+01 |  3.45e+01 |     -- |  9.78e+01 |  1.33e+02
   32040 |  9.30e-03 |     -- |  2.98e+01 |  3.70e+01 |     -- |  9.59e+01 |  1.31e+02
   36045 |  8.66e-03 |     -- |  2.20e+01 |  2.79e+01 |     -- |  9.34e+01 |  1.29e+02
   40050 |  8.60e-03 |     -- |  2.41e+01 |  3.03e+01 |     -- |  9.23e+01 |  1.28e+02
   44055 |  8.50e-03 |     -- |  2.31e+01 |  2.88e+01 |     -- |  9.22e+01 |  1.27e+02
   48060 |  8.38e-03 |     -- |  2.27e+01 |  2.82e+01 |     -- |  9.15e+01 |  1.26e+02
   52065 |  8.15e-03 |     -- |  2.33e+01 |  2.87e+01 |     -- |  8.95e+01 |  1.24e+02
   56070 |  7.99e-03 |     -- |  2.19e+01 |  2.75e+01 |     -- |  8.86e+01 |  1.23e+02
   60075 |  7.80e-03 |     -- |  2.11e+01 |  2.64e+01 |     -- |  8.76e+01 |  1.22e+02
   64080 |  7.72e-03 |     -- |  2.09e+01 |  2.62e+01 |     -- |  8.68e+01 |  1.22e+02
   68085 |  7.53e-03 |     -- |  1.92e+01 |  2.41e+01 |     -- |  8.58e+01 |  1.20e+02
   72090 |  7.46e-03 |     -- |  1.95e+01 |  2.44e+01 |     -- |  8.52e+01 |  1.20e+02
   76095 |  7.39e-03 |     -- |  1.98e+01 |  2.48e+01 |     -- |  8.46e+01 |  1.19e+02
   80100 |  7.35e-03 |     -- |  1.88e+01 |  2.37e+01 |     -- |  8.45e+01 |  1.19e+02
   84105 |  7.21e-03 |     -- |  1.85e+01 |  2.32e+01 |     -- |  8.35e+01 |  1.18e+02
   88110 |  7.21e-03 |     -- |  1.76e+01 |  2.21e+01 |     -- |  8.37e+01 |  1.18e+02
   92115 |  7.17e-03 |     -- |  1.91e+01 |  2.43e+01 |     -- |  8.28e+01 |  1.17e+02
   96120 |  7.06e-03 |     -- |  1.86e+01 |  2.31e+01 |     -- |  8.22e+01 |  1.17e+02
  100125 |  7.01e-03 |     -- |  1.83e+01 |  2.28e+01 |     -- |  8.19e+01 |  1.16e+02
  104130 |  7.05e-03 |     -- |  1.83e+01 |  2.28e+01 |     -- |  8.23e+01 |  1.17e+02
  108135 |  7.03e-03 |     -- |  1.74e+01 |  2.18e+01 |     -- |  8.21e+01 |  1.17e+02
  112140 |  6.97e-03 |     -- |  1.81e+01 |  2.27e+01 |     -- |  8.17e+01 |  1.16e+02
  116145 |  6.88e-03 |     -- |  1.79e+01 |  2.21e+01 |     -- |  8.09e+01 |  1.15e+02
  120150 |  6.92e-03 |     -- |  1.73e+01 |  2.19e+01 |     -- |  8.12e+01 |  1.16e+02
  124155 |  6.89e-03 |     -- |  1.76e+01 |  2.21e+01 |     -- |  8.12e+01 |  1.15e+02
  128160 |  6.80e-03 |     -- |  1.68e+01 |  2.08e+01 |     -- |  8.06e+01 |  1.15e+02
  132165 |  6.84e-03 |     -- |  1.86e+01 |  2.30e+01 |     -- |  8.03e+01 |  1.15e+02
  136170 |  6.75e-03 |     -- |  1.83e+01 |  2.27e+01 |     -- |  8.00e+01 |  1.14e+02
  140175 |  6.81e-03 |     -- |  1.73e+01 |  2.16e+01 |     -- |  8.05e+01 |  1.15e+02
  144180 |  6.67e-03 |     -- |  1.66e+01 |  2.07e+01 |     -- |  7.95e+01 |  1.14e+02
  148185 |  6.65e-03 |     -- |  1.61e+01 |  2.00e+01 |     -- |  7.96e+01 |  1.14e+02
  152190 |  6.65e-03 |     -- |  1.68e+01 |  2.11e+01 |     -- |  7.93e+01 |  1.13e+02
  156195 |  6.66e-03 |     -- |  1.72e+01 |  2.16e+01 |     -- |  7.92e+01 |  1.13e+02
  160200 |  6.60e-03 |     -- |  1.74e+01 |  2.16e+01 |     -- |  7.88e+01 |  1.13e+02
  164205 |  6.65e-03 |     -- |  1.71e+01 |  2.14e+01 |     -- |  7.93e+01 |  1.13e+02
  168210 |  6.59e-03 |     -- |  1.70e+01 |  2.12e+01 |     -- |  7.88e+01 |  1.13e+02
  172215 |  6.58e-03 |     -- |  1.69e+01 |  2.11e+01 |     -- |  7.89e+01 |  1.13e+02
  176220 |  6.59e-03 |     -- |  1.68e+01 |  2.08e+01 |     -- |  7.88e+01 |  1.13e+02
  180225 |  6.56e-03 |     -- |  1.74e+01 |  2.15e+01 |     -- |  7.87e+01 |  1.12e+02
  184230 |  6.49e-03 |     -- |  1.64e+01 |  2.04e+01 |     -- |  7.80e+01 |  1.12e+02
  188235 |  6.55e-03 |     -- |  1.64e+01 |  2.02e+01 |     -- |  7.87e+01 |  1.13e+02
  192240 |  6.46e-03 |     -- |  1.70e+01 |  2.12e+01 |     -- |  7.79e+01 |  1.12e+02
  196245 |  6.47e-03 |     -- |  1.60e+01 |  2.01e+01 |     -- |  7.82e+01 |  1.12e+02
  200250 |  6.47e-03 |     -- |  1.65e+01 |  2.04e+01 |     -- |  7.80e+01 |  1.12e+02
  204255 |  6.59e-03 |     -- |  1.67e+01 |  2.09e+01 |     -- |  7.90e+01 |  1.13e+02
  208260 |  6.42e-03 |     -- |  1.68e+01 |  2.08e+01 |     -- |  7.76e+01 |  1.11e+02
  212265 |  6.36e-03 |     -- |  1.58e+01 |  1.96e+01 |     -- |  7.74e+01 |  1.11e+02
  216270 |  6.34e-03 |     -- |  1.65e+01 |  2.06e+01 |     -- |  7.71e+01 |  1.11e+02
  220275 |  6.40e-03 |     -- |  1.65e+01 |  2.04e+01 |     -- |  7.75e+01 |  1.11e+02
  224280 |  6.35e-03 |     -- |  1.64e+01 |  2.04e+01 |     -- |  7.73e+01 |  1.11e+02
  228285 |  6.35e-03 |     -- |  1.68e+01 |  2.08e+01 |     -- |  7.71e+01 |  1.11e+02
  232290 |  6.31e-03 |     -- |  1.64e+01 |  2.05e+01 |     -- |  7.70e+01 |  1.10e+02
  236295 |  6.28e-03 |     -- |  1.66e+01 |  2.06e+01 |     -- |  7.66e+01 |  1.10e+02
  240300 |  6.28e-03 |     -- |  1.60e+01 |  1.97e+01 |     -- |  7.68e+01 |  1.10e+02
  244305 |  6.22e-03 |     -- |  1.65e+01 |  2.05e+01 |     -- |  7.62e+01 |  1.10e+02
  248310 |  6.27e-03 |     -- |  1.74e+01 |  2.16e+01 |     -- |  7.64e+01 |  1.10e+02
  252315 |  6.27e-03 |     -- |  1.63e+01 |  2.01e+01 |     -- |  7.69e+01 |  1.10e+02
  256320 |  6.19e-03 |     -- |  1.86e+01 |  2.32e+01 |     -- |  7.54e+01 |  1.09e+02
  260325 |  6.23e-03 |     -- |  1.73e+01 |  2.16e+01 |     -- |  7.61e+01 |  1.09e+02
  264330 |  6.20e-03 |     -- |  1.65e+01 |  2.06e+01 |     -- |  7.61e+01 |  1.09e+02
  268335 |  6.23e-03 |     -- |  1.62e+01 |  2.01e+01 |     -- |  7.64e+01 |  1.10e+02
  272340 |  6.18e-03 |     -- |  1.64e+01 |  2.04e+01 |     -- |  7.59e+01 |  1.09e+02
  276345 |  6.09e-03 |     -- |  1.64e+01 |  2.03e+01 |     -- |  7.52e+01 |  1.08e+02
  280350 |  6.10e-03 |     -- |  1.59e+01 |  1.98e+01 |     -- |  7.54e+01 |  1.09e+02
  284355 |  6.10e-03 |     -- |  1.61e+01 |  1.99e+01 |     -- |  7.55e+01 |  1.09e+02
  288360 |  6.12e-03 |     -- |  1.66e+01 |  2.06e+01 |     -- |  7.56e+01 |  1.09e+02
  292365 |  5.98e-03 |     -- |  1.66e+01 |  2.07e+01 |     -- |  7.45e+01 |  1.07e+02
  296370 |  6.03e-03 |     -- |  1.54e+01 |  1.90e+01 |     -- |  7.50e+01 |  1.08e+02
  300375 |  6.03e-03 |     -- |  1.68e+01 |  2.09e+01 |     -- |  7.49e+01 |  1.08e+02
  304380 |  5.98e-03 |     -- |  1.64e+01 |  2.04e+01 |     -- |  7.45e+01 |  1.07e+02
  308385 |  6.02e-03 |     -- |  1.63e+01 |  2.01e+01 |     -- |  7.47e+01 |  1.08e+02
  312390 |  6.00e-03 |     -- |  1.67e+01 |  2.07e+01 |     -- |  7.47e+01 |  1.08e+02
  316395 |  5.85e-03 |     -- |  1.65e+01 |  2.05e+01 |     -- |  7.34e+01 |  1.06e+02
  320400 |  5.96e-03 |     -- |  1.67e+01 |  2.07e+01 |     -- |  7.42e+01 |  1.07e+02
  324405 |  5.89e-03 |     -- |  1.60e+01 |  1.97e+01 |     -- |  7.40e+01 |  1.07e+02
  328410 |  6.03e-03 |     -- |  1.67e+01 |  2.07e+01 |     -- |  7.50e+01 |  1.08e+02
  332415 |  5.87e-03 |     -- |  1.63e+01 |  2.02e+01 |     -- |  7.37e+01 |  1.06e+02
  336420 |  5.82e-03 |     -- |  1.58e+01 |  1.96e+01 |     -- |  7.37e+01 |  1.06e+02
  340425 |  5.90e-03 |     -- |  1.73e+01 |  2.14e+01 |     -- |  7.36e+01 |  1.06e+02
  344430 |  5.91e-03 |     -- |  1.62e+01 |  2.01e+01 |     -- |  7.42e+01 |  1.07e+02
  348435 |  5.78e-03 |     -- |  1.65e+01 |  2.05e+01 |     -- |  7.30e+01 |  1.06e+02
  352440 |  5.72e-03 |     -- |  1.54e+01 |  1.91e+01 |     -- |  7.29e+01 |  1.05e+02
  356445 |  5.78e-03 |     -- |  1.64e+01 |  2.03e+01 |     -- |  7.31e+01 |  1.06e+02
  360450 |  5.75e-03 |     -- |  1.62e+01 |  2.00e+01 |     -- |  7.28e+01 |  1.05e+02
  364455 |  5.75e-03 |     -- |  1.59e+01 |  1.98e+01 |     -- |  7.30e+01 |  1.05e+02
  368460 |  5.65e-03 |     -- |  1.58e+01 |  1.95e+01 |     -- |  7.21e+01 |  1.05e+02
  372465 |  5.69e-03 |     -- |  1.65e+01 |  2.06e+01 |     -- |  7.23e+01 |  1.05e+02
  376470 |  5.72e-03 |     -- |  1.68e+01 |  2.09e+01 |     -- |  7.25e+01 |  1.05e+02
  380475 |  5.60e-03 |     -- |  1.58e+01 |  1.96e+01 |     -- |  7.18e+01 |  1.04e+02
  384480 |  5.72e-03 |     -- |  1.59e+01 |  1.97e+01 |     -- |  7.29e+01 |  1.05e+02
  388485 |  5.62e-03 |     -- |  1.61e+01 |  2.01e+01 |     -- |  7.19e+01 |  1.04e+02
  392490 |  5.69e-03 |     -- |  1.59e+01 |  1.96e+01 |     -- |  7.24e+01 |  1.05e+02
  396495 |  5.51e-03 |     -- |  1.54e+01 |  1.90e+01 |     -- |  7.16e+01 |  1.03e+02
  400500 |  5.66e-03 |     -- |  1.60e+01 |  1.99e+01 |     -- |  7.21e+01 |  1.05e+02
  404505 |  5.51e-03 |     -- |  1.62e+01 |  2.00e+01 |     -- |  7.11e+01 |  1.03e+02
  408510 |  5.50e-03 |     -- |  1.58e+01 |  1.95e+01 |     -- |  7.10e+01 |  1.03e+02
  412515 |  5.54e-03 |     -- |  1.56e+01 |  1.93e+01 |     -- |  7.14e+01 |  1.03e+02
