Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4000 |  8.30e-02 |     -- |  1.03e+02 |  1.45e+02 |     -- |  2.29e+02 |  3.81e+02
    8000 |  2.10e-02 |     -- |  4.80e+01 |  6.10e+01 |     -- |  1.49e+02 |  1.95e+02
   12000 |  1.35e-02 |     -- |  4.26e+01 |  5.38e+01 |     -- |  1.16e+02 |  1.55e+02
   16000 |  1.09e-02 |     -- |  3.66e+01 |  4.54e+01 |     -- |  1.04e+02 |  1.41e+02
   20000 |  9.55e-03 |     -- |  2.96e+01 |  3.72e+01 |     -- |  9.76e+01 |  1.33e+02
   24000 |  8.54e-03 |     -- |  3.12e+01 |  3.91e+01 |     -- |  9.11e+01 |  1.25e+02
   28000 |  8.16e-03 |     -- |  2.84e+01 |  3.52e+01 |     -- |  8.97e+01 |  1.23e+02
   32000 |  7.42e-03 |     -- |  2.60e+01 |  3.24e+01 |     -- |  8.52e+01 |  1.17e+02
   36000 |  6.90e-03 |     -- |  2.07e+01 |  2.62e+01 |     -- |  8.26e+01 |  1.14e+02
   40000 |  6.70e-03 |     -- |  2.32e+01 |  2.87e+01 |     -- |  8.08e+01 |  1.12e+02
   44000 |  6.27e-03 |     -- |  2.25e+01 |  2.79e+01 |     -- |  7.75e+01 |  1.08e+02
   48000 |  4.78e-03 |     -- |  2.11e+01 |  2.64e+01 |     -- |  6.53e+01 |  9.41e+01
   52000 |  3.47e-03 |     -- |  1.75e+01 |  2.19e+01 |     -- |  5.53e+01 |  8.04e+01
   56000 |  2.88e-03 |     -- |  1.67e+01 |  2.10e+01 |     -- |  4.97e+01 |  7.30e+01
   60000 |  2.52e-03 |     -- |  1.54e+01 |  1.92e+01 |     -- |  4.59e+01 |  6.83e+01
   64000 |  2.43e-03 |     -- |  1.57e+01 |  1.94e+01 |     -- |  4.47e+01 |  6.69e+01
   68000 |  2.21e-03 |     -- |  1.52e+01 |  1.98e+01 |     -- |  4.22e+01 |  6.34e+01
   72000 |  2.09e-03 |     -- |  1.46e+01 |  1.82e+01 |     -- |  4.11e+01 |  6.20e+01
   76000 |  2.01e-03 |     -- |  1.27e+01 |  1.68e+01 |     -- |  4.04e+01 |  6.11e+01
   80000 |  1.99e-03 |     -- |  1.47e+01 |  1.82e+01 |     -- |  3.98e+01 |  6.05e+01
   84000 |  1.83e-03 |     -- |  1.11e+01 |  1.37e+01 |     -- |  3.89e+01 |  5.89e+01
   88000 |  1.82e-03 |     -- |  1.20e+01 |  1.52e+01 |     -- |  3.82e+01 |  5.83e+01
   92000 |  1.70e-03 |     -- |  1.27e+01 |  1.56e+01 |     -- |  3.67e+01 |  5.61e+01
   96000 |  1.57e-03 |     -- |  1.10e+01 |  1.37e+01 |     -- |  3.53e+01 |  5.44e+01
  100000 |  1.69e-03 |     -- |  1.27e+01 |  1.61e+01 |     -- |  3.65e+01 |  5.59e+01
  104000 |  1.54e-03 |     -- |  1.22e+01 |  1.52e+01 |     -- |  3.44e+01 |  5.35e+01
  108000 |  1.50e-03 |     -- |  9.60e+00 |  1.22e+01 |     -- |  3.45e+01 |  5.35e+01
  112000 |  1.50e-03 |     -- |  1.23e+01 |  1.50e+01 |     -- |  3.41e+01 |  5.27e+01
  116000 |  1.38e-03 |     -- |  9.62e+00 |  1.24e+01 |     -- |  3.28e+01 |  5.09e+01
