atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,9.1180860996e-01,3.4935024381e-01,2.3051642347e-03,-1.3697643280e+00,-8.5006630421e-01,1.3313269615e+00,-1.0373485088e+00,1.7390401363e+00,5.9134560823e-01,-1.1925199032e+00,-9.5625406504e-01,1.7814172804e-01
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,-1.8013044596e+00,-5.7851755992e-03,4.5432429761e-03,-2.0376244560e-02,-7.6743029058e-03,-6.1378154904e-02,2.5598950684e-02,-4.5185070485e-02,1.4819227159e-02,2.1530414000e-02,4.2240685225e-01,2.5563496351e-01
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,-1.8056447506e+00,-4.8336288892e-03,-8.6079034954e-03,-1.0408915579e-02,-9.9449418485e-03,-4.1536159813e-02,3.6595948040e-02,-2.4700742215e-02,1.6071256250e-02,2.2290946916e-02,4.1680625081e-01,2.5218468904e-01
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,8.8481402397e-01,-1.4697145671e-03,3.4903209656e-02,-7.9193234444e-02,2.1111749113e-02,-3.4101266414e-02,7.2306700051e-02,5.5358337704e-05,2.4774440099e-03,5.5068269372e-02,-5.5919992924e-01,3.8421097398e-01
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,8.7579560280e-01,8.2210719585e-02,1.4034575783e-02,-8.0977361649e-03,3.1489901245e-02,1.5161246061e-01,1.2770774961e-01,-6.9533981383e-02,-7.5893573463e-02,1.0162041336e-01,-4.0725326538e-01,3.2084983587e-01
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,8.8065111637e-01,4.7485452145e-02,9.0741766617e-03,1.0157163255e-02,6.3557522371e-03,1.5592525899e-01,1.0054739565e-01,7.2588457260e-04,-1.4481739700e-01,6.2660671771e-02,-4.4440454245e-01,3.4684935212e-01
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,9.0154933929e-01,-1.4435185120e-02,-8.5299806669e-03,2.7367868461e-04,-2.0684076473e-02,1.6514641047e-01,3.0379293486e-02,7.9149082303e-03,5.4350830615e-02,1.0331371427e-01,-6.4970314503e-01,3.8085183501e-01
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,8.9854431152e-01,2.2955667228e-02,6.2084561214e-03,-1.2342892587e-02,-2.5218650699e-03,4.3619755656e-02,1.5626499057e-01,-1.0138382763e-01,1.3308803737e-01,1.7148226500e-02,-6.2489616871e-01,3.9254358411e-01
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,8.9894485474e-01,3.4638326615e-02,-3.5868739360e-04,6.3069355674e-03,-9.3972384930e-03,9.8892621696e-02,1.7858573794e-01,-2.1538611501e-02,1.1501910165e-02,7.9716622829e-02,-6.3167750835e-01,4.6800446510e-01
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,8.8988649845e-01,-6.3486383297e-03,-1.1500271037e-02,6.1798606068e-02,-9.9670849741e-03,-1.1361907236e-02,-4.5336738229e-02,3.3511210233e-02,3.4022528678e-02,1.8172150478e-02,-7.2249662876e-01,3.8390558958e-01
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,-1.7929396629e+00,-5.3501967341e-03,-1.2705459958e-03,1.8411830068e-02,-9.0795895085e-03,-4.5188713819e-02,-5.9064466506e-02,2.5602150708e-02,2.2869068198e-03,3.0969481915e-02,4.3452024460e-01,2.5854802132e-01
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,-1.7951308489e+00,-5.9082158841e-03,-1.7123389989e-02,9.1898851097e-03,-5.0928932615e-03,-1.9005136564e-02,-6.5682418644e-02,2.9885914177e-02,1.2837748975e-02,2.5626428425e-02,4.3128323555e-01,2.5675836205e-01
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,9.0911173820e-01,3.6364299059e-01,-7.9214322567e-01,1.0781227350e+00,-8.3121168613e-01,1.1429286003e+00,1.4123754501e+00,-3.9287021756e-01,-1.3342396021e+00,-1.5498408079e+00,-6.9804352522e-01,3.0344164371e-01
