atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.4943904877e-01,4.3551106006e-02,-2.1215431392e-02,-3.3963891864e-01,-1.6741277277e-01,-1.3851742446e-01,6.7190505564e-02,-1.0211084783e-01,1.6476163641e-02,4.5871429145e-02,-9.1626363993e-01,6.0224674642e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,2.1928734779e+00,-1.1662731413e-03,3.5447566770e-03,-1.5025775880e-02,-4.8580747098e-03,-1.2204993516e-02,3.0983742326e-02,-1.9528212026e-02,-3.6725606769e-03,2.3788249120e-02,6.9296985865e-01,9.2367969453e-02
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,2.1927704811e+00,1.8742030952e-03,-5.3055752069e-03,-1.0252699256e-02,-7.4152783491e-03,-2.5371475145e-02,6.6697187722e-03,-2.5886040181e-02,-2.1816696972e-03,1.2276541442e-02,6.9297093153e-01,9.0973235667e-02
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.4726067781e-01,-7.2949224710e-01,1.0189785063e-01,-1.2987804413e+00,-4.1919973493e-01,9.0391993523e-01,5.6745991111e-02,1.4138728380e+00,5.0647836924e-01,-6.6180098057e-01,-5.3822404146e-01,4.5511875302e-02
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.4283396006e-01,-5.5284783244e-02,2.1327379346e-01,2.2863443941e-02,2.4050773680e-01,1.3063943479e-03,3.2008089125e-02,-5.1680225879e-02,-7.4639669620e-03,1.5576746315e-02,-2.3891377449e-01,2.1361239254e-01
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.4439560175e-01,-3.8609620184e-02,1.7364409566e-01,2.0531818271e-02,1.7790111899e-01,6.2414541841e-02,2.8649635613e-02,-6.2559768558e-03,-8.1721156836e-02,-1.4417169616e-02,-2.8028330207e-01,2.9008203745e-01
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.4864857197e-01,-3.8547374308e-02,6.7627890967e-03,1.0044841096e-02,4.1524212807e-02,8.2387425005e-02,8.3248829469e-04,2.3198090494e-03,2.4615744129e-02,3.7159837782e-02,-5.0261050463e-01,3.0521157384e-01
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.4830828905e-01,-3.3701825887e-02,-6.0105308890e-02,1.5667501837e-02,1.5910302103e-01,8.0337710679e-03,5.3921271116e-02,-6.5022222698e-02,5.6305687875e-02,-1.7645502463e-02,-4.6895921230e-01,2.8394129872e-01
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.4830781221e-01,-3.8440011442e-02,3.0303176492e-02,6.7017935216e-02,1.9040450454e-01,2.4657931179e-02,6.6526480019e-02,1.5831729397e-02,-1.5992635861e-02,2.4478623644e-02,-4.7081387043e-01,4.6037197113e-01
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.4904005527e-01,-8.0182099342e-01,-6.4420545101e-01,1.1470935345e+00,-5.5058604479e-01,1.0876497030e+00,8.3166640997e-01,-3.0716773868e-01,-6.8586242199e-01,-1.2392165661e+00,-6.7966592312e-01,1.0556311905e-01
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,2.2038516998e+00,1.1197647545e-03,-1.2547287624e-03,1.7589284107e-02,-8.6668757722e-03,-1.3305963948e-03,-3.2083038241e-02,1.3852276839e-02,2.4208802730e-02,2.3977838457e-02,6.9813150167e-01,9.3004100025e-02
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,2.1994395256e+00,2.0018625073e-03,-1.4670398086e-02,7.3501756415e-03,-4.0993099101e-03,-2.9743721709e-02,-1.7414256930e-02,5.8276089840e-03,9.9298227578e-03,2.6819385588e-02,6.9611984491e-01,9.3946717680e-02
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-9.4860261679e-01,4.3841846287e-02,-2.0476876199e-01,2.8957152367e-01,-1.7635281384e-01,-9.2575363815e-02,-1.4772945642e-01,5.5264357477e-02,3.5705354065e-02,7.3728837073e-02,-6.5306675434e-01,6.3021972775e-02
