Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4005 |  1.23e-01 |     -- |  9.78e+01 |  1.41e+02 |     -- |  2.66e+02 |  4.75e+02
    8010 |  2.36e-02 |     -- |  4.74e+01 |  5.95e+01 |     -- |  1.60e+02 |  2.09e+02
   12015 |  1.84e-02 |     -- |  3.60e+01 |  4.49e+01 |     -- |  1.42e+02 |  1.87e+02
   16020 |  1.63e-02 |     -- |  3.24e+01 |  4.14e+01 |     -- |  1.31e+02 |  1.76e+02
   20025 |  1.41e-02 |     -- |  2.81e+01 |  3.52e+01 |     -- |  1.22e+02 |  1.64e+02
   24030 |  1.33e-02 |     -- |  3.42e+01 |  4.26e+01 |     -- |  1.16e+02 |  1.58e+02
   28035 |  1.24e-02 |     -- |  2.47e+01 |  3.14e+01 |     -- |  1.13e+02 |  1.54e+02
   32040 |  1.14e-02 |     -- |  2.41e+01 |  3.00e+01 |     -- |  1.07e+02 |  1.48e+02
   36045 |  1.03e-02 |     -- |  2.58e+01 |  3.18e+01 |     -- |  1.01e+02 |  1.40e+02
   40050 |  9.60e-03 |     -- |  2.53e+01 |  3.18e+01 |     -- |  9.68e+01 |  1.35e+02
   44055 |  9.03e-03 |     -- |  2.18e+01 |  2.76e+01 |     -- |  9.41e+01 |  1.31e+02
   48060 |  8.59e-03 |     -- |  2.03e+01 |  2.59e+01 |     -- |  9.20e+01 |  1.28e+02
   52065 |  8.29e-03 |     -- |  1.77e+01 |  2.29e+01 |     -- |  9.02e+01 |  1.27e+02
   56070 |  7.59e-03 |     -- |  2.00e+01 |  2.57e+01 |     -- |  8.56e+01 |  1.21e+02
   60075 |  7.15e-03 |     -- |  1.86e+01 |  2.30e+01 |     -- |  8.29e+01 |  1.17e+02
   64080 |  6.71e-03 |     -- |  1.88e+01 |  2.33e+01 |     -- |  7.95e+01 |  1.14e+02
   68085 |  6.46e-03 |     -- |  1.69e+01 |  2.11e+01 |     -- |  7.80e+01 |  1.12e+02
   72090 |  6.30e-03 |     -- |  1.93e+01 |  2.43e+01 |     -- |  7.62e+01 |  1.10e+02
   76095 |  5.95e-03 |     -- |  1.78e+01 |  2.19e+01 |     -- |  7.46e+01 |  1.07e+02
   80100 |  5.80e-03 |     -- |  1.72e+01 |  2.14e+01 |     -- |  7.32e+01 |  1.06e+02
   84105 |  5.49e-03 |     -- |  1.68e+01 |  2.07e+01 |     -- |  7.11e+01 |  1.03e+02
   88110 |  5.17e-03 |     -- |  1.59e+01 |  1.97e+01 |     -- |  6.87e+01 |  9.98e+01
   92115 |  5.02e-03 |     -- |  1.59e+01 |  1.99e+01 |     -- |  6.75e+01 |  9.82e+01
   96120 |  4.91e-03 |     -- |  1.65e+01 |  2.04e+01 |     -- |  6.66e+01 |  9.70e+01
  100125 |  4.73e-03 |     -- |  1.32e+01 |  1.62e+01 |     -- |  6.57e+01 |  9.59e+01
  104130 |  4.52e-03 |     -- |  1.45e+01 |  1.80e+01 |     -- |  6.38e+01 |  9.34e+01
  108135 |  4.37e-03 |     -- |  1.25e+01 |  1.57e+01 |     -- |  6.27e+01 |  9.21e+01
  112140 |  4.32e-03 |     -- |  1.35e+01 |  1.70e+01 |     -- |  6.21e+01 |  9.14e+01
  116145 |  4.25e-03 |     -- |  1.48e+01 |  1.82e+01 |     -- |  6.16e+01 |  9.04e+01
  120150 |  4.13e-03 |     -- |  1.31e+01 |  1.63e+01 |     -- |  6.06e+01 |  8.94e+01
  124155 |  3.95e-03 |     -- |  1.23e+01 |  1.53e+01 |     -- |  5.93e+01 |  8.75e+01
  128160 |  3.92e-03 |     -- |  1.42e+01 |  1.75e+01 |     -- |  5.86e+01 |  8.68e+01
  132165 |  3.97e-03 |     -- |  1.26e+01 |  1.58e+01 |     -- |  5.92e+01 |  8.77e+01
  136170 |  3.76e-03 |     -- |  1.15e+01 |  1.43e+01 |     -- |  5.78e+01 |  8.55e+01
  140175 |  3.67e-03 |     -- |  1.12e+01 |  1.41e+01 |     -- |  5.68e+01 |  8.45e+01
  144180 |  3.76e-03 |     -- |  1.45e+01 |  1.77e+01 |     -- |  5.73e+01 |  8.49e+01
  148185 |  3.57e-03 |     -- |  1.25e+01 |  1.56e+01 |     -- |  5.60e+01 |  8.31e+01
  152190 |  3.64e-03 |     -- |  1.05e+01 |  1.30e+01 |     -- |  5.67e+01 |  8.44e+01
  156195 |  3.50e-03 |     -- |  1.10e+01 |  1.35e+01 |     -- |  5.57e+01 |  8.26e+01
  160200 |  3.40e-03 |     -- |  1.05e+01 |  1.34e+01 |     -- |  5.47e+01 |  8.13e+01
  164205 |  3.42e-03 |     -- |  1.19e+01 |  1.46e+01 |     -- |  5.43e+01 |  8.15e+01
  168210 |  3.38e-03 |     -- |  1.01e+01 |  1.31e+01 |     -- |  5.49e+01 |  8.12e+01
  172215 |  3.25e-03 |     -- |  1.09e+01 |  1.36e+01 |     -- |  5.36e+01 |  7.94e+01
  176220 |  3.38e-03 |     -- |  1.09e+01 |  1.35e+01 |     -- |  5.45e+01 |  8.11e+01
  180225 |  3.30e-03 |     -- |  1.03e+01 |  1.30e+01 |     -- |  5.39e+01 |  8.02e+01
  184230 |  3.21e-03 |     -- |  1.26e+01 |  1.54e+01 |     -- |  5.29e+01 |  7.86e+01
  188235 |  3.13e-03 |     -- |  1.08e+01 |  1.34e+01 |     -- |  5.25e+01 |  7.80e+01
  192240 |  3.12e-03 |     -- |  1.13e+01 |  1.42e+01 |     -- |  5.20e+01 |  7.77e+01
  196245 |  3.09e-03 |     -- |  1.07e+01 |  1.35e+01 |     -- |  5.20e+01 |  7.74e+01
  200250 |  3.11e-03 |     -- |  9.75e+00 |  1.24e+01 |     -- |  5.20e+01 |  7.79e+01
  204255 |  3.02e-03 |     -- |  1.13e+01 |  1.45e+01 |     -- |  5.14e+01 |  7.63e+01
  208260 |  3.05e-03 |     -- |  1.02e+01 |  1.28e+01 |     -- |  5.17e+01 |  7.71e+01
