Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4005 |  9.41e-02 |     -- |  1.06e+02 |  1.45e+02 |     -- |  2.43e+02 |  4.09e+02
    8010 |  2.15e-02 |     -- |  5.10e+01 |  6.41e+01 |     -- |  1.51e+02 |  1.97e+02
   12015 |  1.46e-02 |     -- |  3.26e+01 |  4.12e+01 |     -- |  1.25e+02 |  1.66e+02
   16020 |  1.22e-02 |     -- |  3.84e+01 |  4.80e+01 |     -- |  1.11e+02 |  1.49e+02
   20025 |  1.14e-02 |     -- |  3.22e+01 |  3.97e+01 |     -- |  1.08e+02 |  1.46e+02
   24030 |  1.01e-02 |     -- |  3.21e+01 |  4.05e+01 |     -- |  1.00e+02 |  1.36e+02
   28035 |  7.70e-03 |     -- |  2.28e+01 |  2.93e+01 |     -- |  8.64e+01 |  1.21e+02
   32040 |  5.68e-03 |     -- |  2.28e+01 |  2.87e+01 |     -- |  7.19e+01 |  1.03e+02
   36045 |  4.37e-03 |     -- |  1.90e+01 |  2.52e+01 |     -- |  6.21e+01 |  9.01e+01
   40050 |  4.07e-03 |     -- |  2.28e+01 |  2.88e+01 |     -- |  5.89e+01 |  8.55e+01
   44055 |  3.66e-03 |     -- |  1.73e+01 |  2.15e+01 |     -- |  5.70e+01 |  8.28e+01
   48060 |  3.31e-03 |     -- |  1.76e+01 |  2.29e+01 |     -- |  5.32e+01 |  7.81e+01
   52065 |  3.00e-03 |     -- |  1.81e+01 |  2.37e+01 |     -- |  5.01e+01 |  7.38e+01
   56070 |  2.81e-03 |     -- |  1.50e+01 |  1.93e+01 |     -- |  4.91e+01 |  7.25e+01
   60075 |  2.67e-03 |     -- |  1.60e+01 |  2.08e+01 |     -- |  4.73e+01 |  7.00e+01
   64080 |  2.63e-03 |     -- |  1.55e+01 |  1.94e+01 |     -- |  4.71e+01 |  6.99e+01
   68085 |  2.44e-03 |     -- |  1.47e+01 |  1.89e+01 |     -- |  4.50e+01 |  6.73e+01
   72090 |  2.27e-03 |     -- |  1.36e+01 |  1.66e+01 |     -- |  4.35e+01 |  6.53e+01
   76095 |  2.15e-03 |     -- |  1.26e+01 |  1.60e+01 |     -- |  4.26e+01 |  6.36e+01
   80100 |  2.11e-03 |     -- |  1.23e+01 |  1.58e+01 |     -- |  4.18e+01 |  6.31e+01
   84105 |  1.93e-03 |     -- |  1.17e+01 |  1.51e+01 |     -- |  3.99e+01 |  6.02e+01
   88110 |  1.89e-03 |     -- |  1.06e+01 |  1.38e+01 |     -- |  3.97e+01 |  5.99e+01
   92115 |  1.90e-03 |     -- |  1.24e+01 |  1.56e+01 |     -- |  3.95e+01 |  5.96e+01
   96120 |  1.73e-03 |     -- |  9.47e+00 |  1.17e+01 |     -- |  3.81e+01 |  5.76e+01
  100125 |  1.83e-03 |     -- |  1.20e+01 |  1.49e+01 |     -- |  3.82e+01 |  5.86e+01
  104130 |  1.69e-03 |     -- |  1.04e+01 |  1.30e+01 |     -- |  3.73e+01 |  5.67e+01
  108135 |  1.61e-03 |     -- |  1.18e+01 |  1.51e+01 |     -- |  3.56e+01 |  5.47e+01
  112140 |  1.62e-03 |     -- |  1.18e+01 |  1.45e+01 |     -- |  3.60e+01 |  5.50e+01
  116145 |  1.55e-03 |     -- |  1.01e+01 |  1.30e+01 |     -- |  3.50e+01 |  5.42e+01
  120150 |  1.56e-03 |     -- |  9.84e+00 |  1.23e+01 |     -- |  3.57e+01 |  5.45e+01
  124155 |  1.48e-03 |     -- |  8.16e+00 |  1.08e+01 |     -- |  3.50e+01 |  5.33e+01
  128160 |  1.45e-03 |     -- |  9.07e+00 |  1.13e+01 |     -- |  3.42e+01 |  5.26e+01
  132165 |  1.45e-03 |     -- |  7.26e+00 |  9.27e+00 |     -- |  3.44e+01 |  5.31e+01
  136170 |  1.48e-03 |     -- |  8.69e+00 |  1.13e+01 |     -- |  3.46e+01 |  5.32e+01
  140175 |  1.38e-03 |     -- |  7.71e+00 |  9.71e+00 |     -- |  3.36e+01 |  5.16e+01
  144180 |  1.37e-03 |     -- |  9.43e+00 |  1.17e+01 |     -- |  3.31e+01 |  5.10e+01
  148185 |  1.36e-03 |     -- |  9.37e+00 |  1.19e+01 |     -- |  3.28e+01 |  5.08e+01
  152190 |  1.37e-03 |     -- |  1.06e+01 |  1.38e+01 |     -- |  3.27e+01 |  5.05e+01
  156195 |  1.26e-03 |     -- |  9.44e+00 |  1.18e+01 |     -- |  3.17e+01 |  4.87e+01
  160200 |  1.24e-03 |     -- |  8.96e+00 |  1.12e+01 |     -- |  3.15e+01 |  4.86e+01
  164205 |  1.29e-03 |     -- |  8.15e+00 |  1.05e+01 |     -- |  3.20e+01 |  4.97e+01
  168210 |  1.19e-03 |     -- |  7.04e+00 |  9.25e+00 |     -- |  3.10e+01 |  4.78e+01
  172215 |  1.20e-03 |     -- |  9.21e+00 |  1.19e+01 |     -- |  3.08e+01 |  4.75e+01
  176220 |  1.24e-03 |     -- |  8.92e+00 |  1.15e+01 |     -- |  3.14e+01 |  4.84e+01
  180225 |  1.16e-03 |     -- |  7.74e+00 |  1.06e+01 |     -- |  3.05e+01 |  4.70e+01
  184230 |  1.26e-03 |     -- |  9.79e+00 |  1.25e+01 |     -- |  3.17e+01 |  4.87e+01
  188235 |  1.17e-03 |     -- |  8.39e+00 |  1.07e+01 |     -- |  3.08e+01 |  4.71e+01
