Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4005 |  9.42e-02 |     -- |  1.07e+02 |  1.45e+02 |     -- |  2.44e+02 |  4.09e+02
    8010 |  2.18e-02 |     -- |  4.54e+01 |  5.74e+01 |     -- |  1.53e+02 |  2.01e+02
   12015 |  1.52e-02 |     -- |  3.72e+01 |  4.73e+01 |     -- |  1.26e+02 |  1.68e+02
   16020 |  1.26e-02 |     -- |  3.94e+01 |  4.93e+01 |     -- |  1.13e+02 |  1.51e+02
   20025 |  9.90e-03 |     -- |  2.64e+01 |  3.32e+01 |     -- |  1.00e+02 |  1.37e+02
   24030 |  7.86e-03 |     -- |  3.08e+01 |  3.99e+01 |     -- |  8.50e+01 |  1.19e+02
   28035 |  5.80e-03 |     -- |  2.56e+01 |  3.19e+01 |     -- |  7.20e+01 |  1.03e+02
   32040 |  4.82e-03 |     -- |  2.46e+01 |  3.10e+01 |     -- |  6.47e+01 |  9.32e+01
   36045 |  4.25e-03 |     -- |  2.24e+01 |  2.79e+01 |     -- |  6.06e+01 |  8.79e+01
   40050 |  3.81e-03 |     -- |  2.01e+01 |  2.48e+01 |     -- |  5.74e+01 |  8.38e+01
   44055 |  3.50e-03 |     -- |  1.99e+01 |  2.46e+01 |     -- |  5.46e+01 |  8.00e+01
   48060 |  3.12e-03 |     -- |  1.69e+01 |  2.10e+01 |     -- |  5.17e+01 |  7.62e+01
   52065 |  2.88e-03 |     -- |  1.33e+01 |  1.77e+01 |     -- |  4.99e+01 |  7.37e+01
   56070 |  2.80e-03 |     -- |  1.92e+01 |  2.35e+01 |     -- |  4.81e+01 |  7.10e+01
   60075 |  2.52e-03 |     -- |  1.41e+01 |  1.88e+01 |     -- |  4.62e+01 |  6.85e+01
   64080 |  2.53e-03 |     -- |  1.36e+01 |  1.77e+01 |     -- |  4.65e+01 |  6.88e+01
   68085 |  2.35e-03 |     -- |  1.45e+01 |  1.98e+01 |     -- |  4.42e+01 |  6.56e+01
