atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0921018124e+00,-5.0835823640e-04,-2.2758329287e-02,3.2549239695e-02,-7.6119224541e-03,-4.1222866625e-02,9.9633760750e-02,-7.5857803226e-02,-4.0909085423e-02,4.8023872077e-02,-2.1019776165e-01,4.3485149741e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,3.6542987823e+00,-2.4542069877e-04,9.3980503152e-05,6.6273809352e-05,3.9644179196e-05,3.6839907989e-04,5.6343036704e-05,8.2505401224e-04,9.0778165031e-04,-7.4512569699e-04,-2.2445568442e-01,1.2752321362e-01
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,3.6484036446e+00,2.3205218895e-04,-1.5699306459e-06,5.4659052694e-05,1.0641002154e-04,8.4882474039e-04,8.5430662148e-04,1.5279264189e-03,3.0626807711e-04,3.3636682929e-05,-2.4493992329e-01,1.2760652602e-01
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0695827007e+00,-4.3030574918e-02,-2.6508098468e-02,1.8952915072e-01,6.7591138184e-02,7.3264323175e-02,7.3092341423e-02,1.3473547995e-02,-4.3447267264e-02,-3.2251924276e-02,1.2222105265e-01,3.5649139434e-02
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0905299187e+00,-1.1612737924e-01,2.2498749197e-02,3.1949752569e-01,1.2339651585e-01,-1.2206577230e-04,-1.7562994361e-01,-2.1090311930e-02,-8.9260429144e-02,-1.1168484390e-01,1.3934199512e-01,6.5117642283e-02
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.1178065538e+00,-1.7942943573e+00,-2.0191282034e-01,1.2780449390e+00,2.6353570819e-01,3.4052911401e-01,1.8429802656e+00,4.1785349846e+00,2.8278441429e+00,-1.1330442429e+00,1.1023317277e-01,2.3631503806e-02
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0306358337e+00,-2.0239185542e-02,7.8739300370e-03,1.1218601838e-02,1.8230466172e-02,3.1549304724e-02,-7.4328929186e-02,-6.6009406000e-03,-8.6120124906e-03,1.0603804840e-03,-2.3703917861e-02,1.6818054020e-02
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0851626396e+00,-1.5135619640e+00,4.8922958970e-01,-8.2429724932e-01,2.7968391776e-01,1.5530831814e+00,2.2804732323e+00,-1.7502155304e+00,-7.5312334299e-01,-2.7460432053e+00,-1.8461063504e-02,2.2631496191e-02
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0506284237e+00,-3.1521476805e-02,1.1129547656e-01,-1.5128415823e-01,2.4882242084e-02,-6.8230037577e-03,-2.4115845561e-02,3.2729599625e-02,-9.3314424157e-03,2.1228641272e-02,-2.3178949952e-02,5.5092141032e-02
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0764631033e+00,8.7936501950e-04,6.1202127486e-02,-1.0364763439e-01,3.9142049849e-02,-4.9588777125e-02,-3.7172410637e-02,-2.9673511162e-03,1.0880912095e-01,1.0415749997e-01,-1.0679821670e-01,3.5385377705e-02
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,3.6663138866e+00,9.9756289274e-05,1.0533040040e-04,-2.9370607808e-04,1.8766117864e-04,-5.6725915056e-04,1.1308824178e-03,-6.3615472754e-04,-5.3797260625e-04,-1.9868304662e-04,-2.1435064077e-01,1.2752550840e-01
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,3.6508920193e+00,7.8191747889e-05,2.3574466468e-04,-1.9610415620e-04,1.3636551739e-04,1.1463373667e-03,1.0446814122e-04,2.7789687010e-05,1.3417376613e-04,-6.2238879036e-04,-2.2898723185e-01,1.2752237916e-01
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-1.0620999336e+00,1.2040920556e-03,2.6514830068e-02,-3.3894866705e-02,1.6243573278e-02,-5.6721329689e-02,-8.4576345980e-02,3.7545140833e-02,8.2261413336e-02,7.2692520916e-02,1.5577130020e-01,5.0946593285e-02
