Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4005 |  9.45e-02 |     -- |  9.96e+01 |  1.40e+02 |     -- |  2.46e+02 |  4.12e+02
    8010 |  2.21e-02 |     -- |  5.02e+01 |  6.43e+01 |     -- |  1.53e+02 |  2.00e+02
   12015 |  1.47e-02 |     -- |  3.89e+01 |  5.00e+01 |     -- |  1.24e+02 |  1.64e+02
   16020 |  1.24e-02 |     -- |  3.95e+01 |  4.77e+01 |     -- |  1.12e+02 |  1.50e+02
   20025 |  1.09e-02 |     -- |  3.26e+01 |  4.05e+01 |     -- |  1.05e+02 |  1.42e+02
   24030 |  7.93e-03 |     -- |  2.82e+01 |  3.52e+01 |     -- |  8.71e+01 |  1.21e+02
   28035 |  6.50e-03 |     -- |  2.43e+01 |  3.05e+01 |     -- |  7.80e+01 |  1.10e+02
   32040 |  5.23e-03 |     -- |  2.38e+01 |  3.01e+01 |     -- |  6.84e+01 |  9.78e+01
   36045 |  4.51e-03 |     -- |  2.11e+01 |  2.68e+01 |     -- |  6.30e+01 |  9.12e+01
   40050 |  3.93e-03 |     -- |  2.24e+01 |  2.86e+01 |     -- |  5.72e+01 |  8.39e+01
   44055 |  3.62e-03 |     -- |  1.79e+01 |  2.28e+01 |     -- |  5.60e+01 |  8.20e+01
   48060 |  3.50e-03 |     -- |  1.72e+01 |  2.18e+01 |     -- |  5.50e+01 |  8.08e+01
   52065 |  3.16e-03 |     -- |  1.94e+01 |  2.48e+01 |     -- |  5.12e+01 |  7.55e+01
   56070 |  2.92e-03 |     -- |  1.74e+01 |  2.19e+01 |     -- |  4.95e+01 |  7.33e+01
   60075 |  2.81e-03 |     -- |  1.55e+01 |  1.97e+01 |     -- |  4.88e+01 |  7.23e+01
   64080 |  2.65e-03 |     -- |  1.60e+01 |  2.02e+01 |     -- |  4.68e+01 |  6.99e+01
   68085 |  2.57e-03 |     -- |  1.36e+01 |  1.72e+01 |     -- |  4.62e+01 |  6.96e+01
   72090 |  2.34e-03 |     -- |  1.37e+01 |  1.76e+01 |     -- |  4.40e+01 |  6.62e+01
   76095 |  2.28e-03 |     -- |  1.20e+01 |  1.49e+01 |     -- |  4.38e+01 |  6.59e+01
   80100 |  2.14e-03 |     -- |  1.24e+01 |  1.56e+01 |     -- |  4.19e+01 |  6.36e+01
   84105 |  2.08e-03 |     -- |  1.29e+01 |  1.63e+01 |     -- |  4.13e+01 |  6.24e+01
   88110 |  1.98e-03 |     -- |  1.13e+01 |  1.39e+01 |     -- |  4.06e+01 |  6.14e+01
   92115 |  1.94e-03 |     -- |  1.15e+01 |  1.45e+01 |     -- |  3.98e+01 |  6.07e+01
   96120 |  1.91e-03 |     -- |  1.12e+01 |  1.40e+01 |     -- |  3.94e+01 |  6.02e+01
  100125 |  1.94e-03 |     -- |  1.24e+01 |  1.57e+01 |     -- |  3.92e+01 |  6.03e+01
  104130 |  1.73e-03 |     -- |  9.83e+00 |  1.27e+01 |     -- |  3.75e+01 |  5.74e+01
  108135 |  1.68e-03 |     -- |  1.08e+01 |  1.31e+01 |     -- |  3.68e+01 |  5.64e+01
  112140 |  1.58e-03 |     -- |  9.01e+00 |  1.14e+01 |     -- |  3.58e+01 |  5.50e+01
