atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.0240521431e+00,-7.1978197098e+00,3.3894640207e-01,-7.2102540731e-01,-1.8380320072e-01,-1.6420981884e+00,-1.6802158356e+00,-1.1400886536e+01,-4.5609464645e+00,4.5937132835e+00,3.4352925420e-01,-3.1340625882e-01
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,-5.6683939695e-01,-2.4783127010e-03,1.6685145674e-03,3.7947570672e-04,1.0184209095e-03,5.4989643395e-03,-2.4366541766e-03,1.3544215821e-02,4.4671399519e-03,-7.3304674588e-03,-6.1315411329e-01,-7.7717654407e-02
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,-5.4030275345e-01,-2.7204004582e-03,-1.3156046625e-03,4.5265941299e-04,-6.4841797575e-04,3.0541163869e-03,-6.8686595187e-03,5.4298723117e-03,4.5234970748e-03,-7.8066084534e-03,-6.4346748590e-01,-7.7591054142e-02
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.4211370945e+00,-8.5981994867e-02,-1.8147017807e-02,-4.9015041441e-02,5.6798709556e-03,-1.0936887562e-01,-1.2029898912e-01,1.0929110050e+00,1.2036260962e-01,-4.5773881674e-01,4.7954264283e-01,-7.4772633612e-02
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.5485399961e+00,-1.6791944206e-01,-1.9966956228e-02,-1.4394364320e-02,5.4756041616e-02,-6.2733054161e-02,1.4284254611e-01,7.7680742741e-01,4.5368748903e-01,-2.0359750092e-01,5.4092538357e-01,-2.3176878691e-02
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.5130784512e+00,-1.8662878871e-01,3.8674730808e-02,-3.5073891282e-02,-1.8945286050e-02,2.7001893520e-01,-7.8791356087e-01,-4.9486103654e-01,-9.7468817234e-01,-5.8994707651e-03,5.1895666122e-01,-5.8579992503e-02
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,9.9797832966e-01,3.5882089287e-02,-4.8165313900e-02,-1.1963170022e-02,-1.1095643789e-01,1.6640819609e-01,1.1954785138e-01,-3.6555737257e-02,-3.7893954664e-02,-1.5731375664e-02,4.1174823046e-01,-7.4562802911e-02
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.3865820169e+00,-2.4988690019e-01,-3.9605133235e-02,-3.5504400730e-02,-2.9354628175e-02,7.5670021772e-01,-9.6575683355e-01,2.0776084065e-01,-2.8469237685e-01,6.4121097326e-01,3.6241054535e-01,-6.0800742358e-02
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.3107932806e+00,-2.1536481380e-01,-2.8947647661e-02,2.3469170555e-02,5.7915925980e-02,3.4920328856e-01,-1.1325113475e-01,-3.1915193796e-01,-7.6265402138e-02,-4.6361842752e-01,3.6935603619e-01,-2.1247815341e-02
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,1.3177350760e+00,-1.7958426476e-01,-3.5957913846e-02,7.5811766088e-02,7.3551712558e-03,-7.9654380679e-02,3.0360880494e-01,-2.4041095376e-01,-3.0560863018e-01,-6.9571310282e-01,2.9955166578e-01,-7.4718393385e-02
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,-5.6427246332e-01,-2.8869097587e-03,1.1338047916e-03,2.3631355725e-04,-4.7006044042e-05,1.6582163516e-03,4.4253137894e-03,-1.7405726248e-03,-4.9857012928e-03,-6.1695356853e-03,-5.8814710379e-01,-7.7652849257e-02
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,-5.4409211874e-01,-2.2079076152e-03,-1.1688477825e-03,-1.1436475907e-03,4.9147167010e-04,1.6067578690e-03,4.4443886727e-03,-2.6548446622e-03,-4.9432464875e-03,-5.3148348816e-03,-6.2083470821e-01,-7.7496215701e-02
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,7.6912355423e-01,-7.8876667023e+00,-2.6236322522e-01,6.0788232088e-01,-5.1020979881e-01,-4.4143891335e+00,-4.5094776154e+00,3.9208688736e+00,2.8986756802e+00,1.1638560295e+01,6.5318667889e-01,-3.1287667155e-01
