Training set losses. Units: meV (U), meV/Å (F), meV (σ), % (R2)
    Step |      Loss |   U R2 |     U MAE |    U RMSE |   F R2 |     F MAE |    F RMSE
    4005 |  9.40e-02 |     -- |  1.02e+02 |  1.42e+02 |     -- |  2.45e+02 |  4.10e+02
    8010 |  2.18e-02 |     -- |  4.51e+01 |  5.83e+01 |     -- |  1.53e+02 |  2.01e+02
   12015 |  1.61e-02 |     -- |  4.50e+01 |  5.58e+01 |     -- |  1.29e+02 |  1.71e+02
   16020 |  1.32e-02 |     -- |  3.65e+01 |  4.64e+01 |     -- |  1.17e+02 |  1.56e+02
   20025 |  1.10e-02 |     -- |  2.97e+01 |  3.76e+01 |     -- |  1.07e+02 |  1.44e+02
   24030 |  8.08e-03 |     -- |  2.49e+01 |  3.17e+01 |     -- |  8.89e+01 |  1.23e+02
   28035 |  5.99e-03 |     -- |  2.39e+01 |  3.07e+01 |     -- |  7.37e+01 |  1.05e+02
   32040 |  4.80e-03 |     -- |  2.49e+01 |  3.09e+01 |     -- |  6.42e+01 |  9.30e+01
   36045 |  4.18e-03 |     -- |  2.38e+01 |  2.94e+01 |     -- |  5.95e+01 |  8.66e+01
   40050 |  3.84e-03 |     -- |  2.06e+01 |  2.58e+01 |     -- |  5.72e+01 |  8.37e+01
   44055 |  3.49e-03 |     -- |  1.81e+01 |  2.33e+01 |     -- |  5.49e+01 |  8.02e+01
   48060 |  3.05e-03 |     -- |  1.61e+01 |  2.04e+01 |     -- |  5.15e+01 |  7.54e+01
   52065 |  3.10e-03 |     -- |  1.98e+01 |  2.41e+01 |     -- |  5.07e+01 |  7.49e+01
   56070 |  2.75e-03 |     -- |  1.65e+01 |  2.08e+01 |     -- |  4.82e+01 |  7.12e+01
   60075 |  2.71e-03 |     -- |  1.54e+01 |  1.91e+01 |     -- |  4.83e+01 |  7.11e+01
   64080 |  2.47e-03 |     -- |  1.40e+01 |  1.83e+01 |     -- |  4.58e+01 |  6.78e+01
   68085 |  2.31e-03 |     -- |  1.38e+01 |  1.77e+01 |     -- |  4.36e+01 |  6.56e+01
   72090 |  2.19e-03 |     -- |  1.35e+01 |  1.76e+01 |     -- |  4.25e+01 |  6.38e+01
   76095 |  2.11e-03 |     -- |  1.37e+01 |  1.71e+01 |     -- |  4.17e+01 |  6.27e+01
   80100 |  1.96e-03 |     -- |  1.10e+01 |  1.43e+01 |     -- |  4.03e+01 |  6.09e+01
   84105 |  1.94e-03 |     -- |  1.27e+01 |  1.61e+01 |     -- |  4.01e+01 |  6.02e+01
   88110 |  2.22e-03 |     -- |  1.30e+01 |  1.65e+01 |     -- |  4.25e+01 |  6.45e+01
   92115 |  1.84e-03 |     -- |  1.22e+01 |  1.54e+01 |     -- |  3.90e+01 |  5.86e+01
   96120 |  1.79e-03 |     -- |  1.19e+01 |  1.49e+01 |     -- |  3.85e+01 |  5.80e+01
  100125 |  1.74e-03 |     -- |  1.02e+01 |  1.30e+01 |     -- |  3.81e+01 |  5.76e+01
  104130 |  1.69e-03 |     -- |  9.97e+00 |  1.25e+01 |     -- |  3.76e+01 |  5.68e+01
  108135 |  1.61e-03 |     -- |  1.09e+01 |  1.37e+01 |     -- |  3.63e+01 |  5.50e+01
  112140 |  1.54e-03 |     -- |  1.02e+01 |  1.31e+01 |     -- |  3.58e+01 |  5.40e+01
  116145 |  1.99e-03 |     -- |  1.06e+01 |  1.37e+01 |     -- |  3.90e+01 |  6.15e+01
  120150 |  1.57e-03 |     -- |  1.17e+01 |  1.48e+01 |     -- |  3.56e+01 |  5.40e+01
  124155 |  1.54e-03 |     -- |  1.20e+01 |  1.51e+01 |     -- |  3.54e+01 |  5.33e+01
  128160 |  1.51e-03 |     -- |  9.82e+00 |  1.27e+01 |     -- |  3.51e+01 |  5.35e+01
