step,epoch_est,atom_index,Z,q0,q1_x,q1_y,q1_z,q1_norm,q2_0,q2_1,q2_2,q2_3,q2_4,q2_norm,energy_short,energy_long
4005,2.0025,0.0,6.0,0.014736646786,-3.8041012886e-05,-3.8081657294e-06,-8.2951564764e-06,3.912071584957713e-05,-5.9741531004e-05,-2.0821944418e-05,-1.5721259842e-05,4.2194551497e-05,-1.5385516235e-05,7.91634776454287e-05,-0.30544382334,0.35273709893
4005,2.0025,1.0,1.0,-0.1593580097,6.2433058723e-09,3.713544583e-09,4.2966559199e-09,8.439818343959544e-09,-9.6728136612e-10,-6.8088605865e-09,9.2351442049e-09,9.724653971e-09,-6.7306724638e-09,1.65062094644281e-08,0.023500546813,0.22840888798
4005,2.0025,2.0,1.0,-0.15704776347,-1.3991553693e-08,6.9652013046e-09,-4.1839247622e-09,1.617970427336216e-08,1.7913457384e-09,4.3541641404e-09,9.1121838963e-09,1.3645458097e-08,-4.8638155725e-09,1.774978278391864e-08,-0.0320751369,0.22513477504
4005,2.0025,3.0,6.0,0.0029553570785,4.0097947931e-06,1.4771002498e-05,1.6155579942e-05,2.225452161564132e-05,1.1338159311e-05,5.4504171203e-06,9.850972674e-06,-7.478462976e-06,1.7255624698e-05,2.4677653011832394e-05,0.043587446213,0.36967906356
4005,2.0025,4.0,6.0,-0.013438275084,-1.0308143828e-05,-5.5617210819e-06,-7.4125232459e-06,1.3861315646164085e-05,-4.3892356416e-07,1.5386680388e-05,5.9032968238e-06,1.2556556612e-05,1.7513586499e-05,2.713271690516528e-05,-0.62971687317,0.35076978803
4005,2.0025,5.0,6.0,-0.0092347916216,3.4412064451e-06,-6.7221626523e-06,4.9400972557e-07,7.567920330627992e-06,9.9770295492e-06,3.1578194921e-06,5.8267128225e-06,-1.5276808654e-06,5.1452116168e-06,1.3125187095593935e-05,-0.60137754679,0.35311228037
4005,2.0025,6.0,6.0,-0.004527350422,5.0333360377e-06,-6.468967058e-06,1.0402050066e-06,8.26220508833171e-06,1.0713348274e-05,8.1559919636e-06,1.0552373624e-06,6.0761503846e-06,4.1083126234e-06,1.536904024814803e-05,-0.6576911211,0.35566332936
4005,2.0025,7.0,6.0,-0.0079514440149,-5.4081774579e-06,9.0723515314e-06,1.5742443793e-06,1.0678679276539363e-05,9.5778214018e-06,1.2178574252e-05,-1.8819878278e-06,8.5797219072e-06,9.3877388281e-06,2.0132945142471004e-05,-0.74560642242,0.35177564621
4005,2.0025,8.0,6.0,-0.010090341792,-1.6573234518e-07,1.3525648683e-05,1.8766122878e-07,1.3527965709705423e-05,2.1053936507e-05,1.7953025235e-05,2.7983386985e-07,1.4624705727e-05,2.3638687708e-05,3.922151499727855e-05,-0.79978120327,0.35033464432
4005,2.0025,9.0,6.0,-0.0012173854047,3.4481472539e-06,-4.4124467422e-06,-4.408832865e-06,7.12721635484946e-06,1.5210499441e-05,1.9840503228e-05,-1.4640520476e-06,-2.9054062907e-06,3.9740189095e-06,2.552219665291615e-05,-0.4601495564,0.35797387362
4005,2.0025,10.0,1.0,-0.15107734501,2.622634554e-09,9.8176278218e-10,-5.479958709e-10,2.8534837723092178e-09,-9.6494645607e-10,-7.3832961967e-10,6.9453198748e-10,-4.4133838806e-09,-3.3916969233e-09,5.73935469099616e-09,0.10181203485,0.23422020674
4005,2.0025,11.0,1.0,-0.15353955328,-5.8488787147e-09,-4.8674126951e-09,1.7468383406e-09,7.807210305344767e-09,2.005821953e-09,-2.8857845003e-09,1.3925175457e-09,-5.1043671512e-09,-5.252507318e-09,8.242182729367505e-09,0.023368686438,0.22843547165
4005,2.0025,12.0,6.0,0.013883451,-9.7577321867e-06,-5.9724709445e-07,8.5547835624e-06,1.2990548999896014e-05,-1.2046061784e-05,-1.424612492e-05,1.2221132238e-05,-3.7944075302e-05,-1.4202680177e-05,4.624807809685575e-05,0.15485340357,0.36294066906
8010,4.005,0.0,6.0,-0.05413916707,-0.0019267168827,0.00011211418314,-0.00034200024675,0.0019600438017859235,-0.0063493833877,0.00032679107971,-0.0021110512316,0.0045569324866,-0.00020662680618,0.008104710200906707,-0.3287075758,0.23102018237
8010,4.005,1.0,1.0,0.22106860578,1.9069697998e-07,-3.1185427929e-07,5.0687107289e-11,3.6553855098219215e-07,7.9390034102e-08,-2.9901337939e-07,-4.6454334779e-07,-5.7744506421e-07,2.0356263519e-07,8.28488291511035e-07,-0.15085357428,0.1551323235
8010,4.005,2.0,1.0,0.22044156492,-9.8860809317e-08,-1.8728856688e-08,-1.6668447955e-08,1.0199052332878981e-07,4.6970660605e-07,6.3038231701e-07,-4.2131951261e-09,-1.2484856882e-07,3.8166177774e-07,8.827665547035275e-07,-0.20620451868,0.15454384685
8010,4.005,3.0,6.0,-0.034016758204,0.00086179532809,-0.0004556060303,0.00027156859869,0.0010119375208766227,0.0027569609229,0.00053575373022,-0.0025400957093,-0.00498562539,0.0041816025041,0.00752875898365425,0.091301560402,0.23583255708
8010,4.005,4.0,6.0,-0.090114027262,-0.00016601507377,0.00087265920592,0.00014803181693,0.0009005601108306877,0.00066068372689,0.0015892711235,-0.00081594381481,0.00018930100487,0.00056900922209,0.0019969117069022274,-0.51446855068,0.23050548136
8010,4.005,5.0,6.0,-0.080614075065,1.5751267711e-05,-0.00055522460025,-0.00020633800887,0.0005925350901522306,0.001630502753,0.00064811343327,0.00027614668943,-0.00085797335487,0.0010700911516,0.0022441168851929823,-0.48055389524,0.23125043511
8010,4.005,6.0,6.0,-0.076576337218,0.0002507949539,0.00018682904192,0.00065555033507,0.0007263259885318972,0.0019210989121,0.0019370238297,-0.00016333190433,0.00067428965122,0.0015120628523,0.0031953654346439818,-0.52122110128,0.23236584663
8010,4.005,7.0,6.0,-0.087710529566,-0.00021979022131,0.00055031327065,-0.00051760388305,0.0007868076111638963,0.0012233994203,0.0018059476279,-0.00033012012136,0.0013209035387,0.00079802179243,0.0026923516134743854,-0.63446038961,0.23107045889
8010,4.005,8.0,6.0,-0.096453815699,0.00063144695014,-0.0014672578545,-0.0003211517178,0.0016293278639607628,0.0023116804659,0.002687493572,-0.001207762165,0.00077361759031,0.0018464408349,0.004246528659504574,-0.70006090403,0.23066166043
