atom_index,Z,x,y,z,scalar_charge,sph_0,sph_1,sph_2,sph_3,sph_4,sph_5,sph_6,sph_7,sph_8,energy_short,energy_long
0.0000000000e+00,6.0000000000e+00,nan,nan,nan,-9.0249496460e+01,-6.6644935608e+00,-2.7390730381e-01,-2.4486057758e+00,5.0164282322e-02,2.5528442860e+00,-1.4118077755e+00,8.3655538559e+00,-4.2430663109e+00,-1.3654186726e+00,-2.0051559806e-01,6.3404291868e-02
1.0000000000e+00,1.0000000000e+00,nan,nan,nan,-5.2625189209e+02,-4.8698678613e-01,1.1017887592e+00,-3.2118177414e-01,4.3161419034e-01,3.2795983553e-01,-1.5156720579e-01,2.3527571559e-01,-1.1210471392e-01,-2.3784264922e-01,-1.6699117422e-01,5.6987706572e-02
2.0000000000e+00,1.0000000000e+00,nan,nan,nan,-5.1422198486e+02,-2.3764057551e-03,-1.2741235495e+00,2.7527743578e-01,-3.7603065372e-01,2.0757262409e-01,-1.9122399390e-01,1.6621994972e-01,-2.0239436626e-01,-2.9799869657e-01,-1.8330337107e-01,6.0289938003e-02
3.0000000000e+00,6.0000000000e+00,nan,nan,nan,-1.0266725922e+02,-3.6854446411e+02,-9.2556175232e+01,-3.1369070435e+02,-1.6083184814e+02,7.6396934509e+01,-5.7156871796e+01,-7.0778070068e+02,-3.2950219727e+02,2.4695426941e+02,1.2073761225e-01,9.6592493355e-03
4.0000000000e+00,6.0000000000e+00,nan,nan,nan,-8.1983657837e+01,-5.0478162766e+00,1.5119655609e+01,-6.9578418732e+00,4.7330274582e+00,1.4039521217e+00,3.2469165802e+01,3.1524387360e+01,8.8937158585e+00,3.4791598320e+00,8.8716387749e-02,8.2179099321e-02
5.0000000000e+00,6.0000000000e+00,nan,nan,nan,-7.3105903625e+01,7.2763866186e-01,-6.1442594528e+00,-5.7153410912e+00,-1.0034600258e+01,3.1410991669e+01,-1.2038226128e+01,1.5707712173e+00,-2.4753217697e+00,-8.0293059349e-02,9.4643697143e-02,1.2513116002e-01
6.0000000000e+00,6.0000000000e+00,nan,nan,nan,-6.3546375275e+01,-1.8577913046e+00,-3.8824079037e+00,-6.4122343063e+00,-1.3254442215e+01,-1.1022697449e+01,1.6663560867e+01,-6.4663705826e+00,-6.4962249994e-01,-1.8012506962e+00,-2.3800686002e-02,9.7660645843e-02
7.0000000000e+00,6.0000000000e+00,nan,nan,nan,-6.6125648499e+01,-1.0023156166e+01,-4.5922684669e+00,5.4479737282e+00,-9.1884291172e-01,8.0683612823e+00,-4.4068450928e+00,7.8876934052e+00,-2.1025930405e+01,3.0248603821e+00,-5.4043695331e-02,1.0488077253e-01
8.0000000000e+00,6.0000000000e+00,nan,nan,nan,-6.7774719238e+01,1.5435811281e+00,1.2879074812e+00,3.1833699346e-01,-7.0828646421e-01,-2.8572101593e+00,1.9230028391e+00,-1.1190277100e+01,9.3451995850e+00,-1.8552555084e+01,-7.9171478748e-02,7.8572690487e-02
9.0000000000e+00,6.0000000000e+00,nan,nan,nan,-8.4289100647e+01,-3.1797445679e+02,-9.8638641357e+01,1.9648663330e+02,-1.0414649200e+02,-5.5719505310e+01,-9.2312530518e+01,1.6643293762e+02,1.1481906891e+02,5.3611993408e+02,-9.8232045770e-02,-1.6509383917e-02
1.0000000000e+01,1.0000000000e+00,nan,nan,nan,-5.3247937012e+02,-1.9035336375e-01,9.8864072561e-01,6.9334477186e-01,-2.9973691702e-01,2.7900087833e-01,1.2673002481e-01,-5.1631513983e-02,1.3074930757e-02,-1.3708049059e-01,-1.5693084896e-01,6.2575250864e-02
1.1000000000e+01,1.0000000000e+00,nan,nan,nan,-5.1747991943e+02,-1.0894691199e-01,-1.1163728237e+00,-5.7894104719e-01,2.3702450097e-01,-9.9208969623e-03,4.8790177703e-01,-2.0545816422e-01,-1.8715101480e-01,-2.1090967953e-01,-1.7097802460e-01,6.1393689364e-02
1.2000000000e+01,6.0000000000e+00,nan,nan,nan,-6.9352935791e+01,-3.7617788315e+00,-3.5698652267e-01,7.3239028454e-02,-1.8477735519e+00,4.5976233482e-01,2.6213104725e+00,-1.6602023840e+00,5.7406288385e-01,-4.6760416031e+00,1.8215961754e-01,6.4214944839e-02
