global_epoch,stage,stage_epoch,lr_weight,std_q,mean_abs_q,std_q_dipole,std_q_quadrupole,f_long_over_f_total,e_long_over_e_total
1,1,1,1.0,0.08833698781481264,0.03810749256101429,0.026376188504296277,0.006100826889559239,3.5758473423947775e-05,2.9655435196584863
2,1,2,1.0,0.09508636016554019,0.04806662958911342,0.033640393385696944,0.01940293617169413,6.021885077183647e-05,3.8240912007383416
3,1,3,1.0,0.09649748752329239,0.05034143861949953,0.03308357923715407,0.023964786305866,5.7970115978338474e-05,3.765976781551247
4,1,4,1.0,0.09676255762021536,0.05064463939829769,0.031865820176562504,0.02444039508204588,5.410194353335055e-05,3.5254548888002377
5,1,5,1.0,0.09737264861468282,0.04939442313430656,0.02822791639351621,0.022363558623029245,5.222936909085015e-05,3.6213139292031036
6,1,6,1.0,0.09781614194311475,0.04919318644205729,0.027136663836934277,0.02177887829114085,4.5579146192040046e-05,3.855006053484534
7,1,7,1.0,0.09814037009558717,0.0488665511954544,0.02568396646966132,0.021742356111095228,4.403252931545634e-05,3.502907689247379
8,1,8,1.0,0.09890306447749479,0.048920457497621195,0.025595667764602717,0.021285593669582183,4.169358320995879e-05,3.839186128407542
9,1,9,1.0,0.09946430584232638,0.049382613418448684,0.027094951769560845,0.021398577560115137,4.2499984294946304e-05,3.822081572792454
10,1,10,1.0,0.09995796002198894,0.04979703668447641,0.02957040242815655,0.020685040519004237,4.185033803154227e-05,3.7328989486270348
11,1,11,1.0,0.10040479907407687,0.04961774620643029,0.02855043346851188,0.020732038231690644,4.0175729638276976e-05,3.4760945904043665
12,1,12,1.0,0.10091582134905033,0.049309291154910354,0.027757330046762972,0.0201977996134711,3.958393721546211e-05,3.9519717813874955
13,1,13,1.0,0.10111513725294524,0.04893839068290515,0.026973881690560343,0.019931668942274328,4.080049905699612e-05,3.6042107312782954
14,1,14,1.0,0.10159853406560634,0.04926489994668553,0.029049788085836793,0.019050562838271386,3.877261384897759e-05,3.377654869285423
15,1,15,1.0,0.10221494450903444,0.0493481806893634,0.02972724740243751,0.018382187126930797,3.9386907513807184e-05,3.8666131863336664
16,1,16,1.0,0.10223110776592546,0.048669678908128004,0.028225315941043883,0.017620944540408377,3.4738516603848795e-05,3.5744594258767024
17,1,17,1.0,0.1026003795062766,0.04898528544108073,0.028625086262600408,0.01817547678530446,3.436460090118535e-05,3.66305874906466
18,1,18,1.0,0.10283645839747466,0.04861217211861896,0.027681399276103604,0.01719786354878105,3.0354336568129304e-05,3.1070912713080334
19,1,19,1.0,0.10316432435176219,0.048353594755515074,0.02803805485096837,0.016071007351892288,2.895278737381177e-05,3.7666891720223603
20,1,20,1.0,0.10361692103139514,0.04890437740749783,0.02870789959464069,0.016957606582273344,2.9495236419098353e-05,3.8170285489302906
