train,"{'mae': 0.12685555219650269, 'rmse': 0.31292611360549927}","{'mae': 0.2233210802078247, 'rmse': 0.3517240583896637}"
val,"{'mae': 0.02201855182647705, 'rmse': 0.02522209659218788}","{'mae': 0.1738886684179306, 'rmse': 0.22291691601276398}"
train,"{'mae': 0.09893690794706345, 'rmse': 0.14356161653995514}","{'mae': 0.18896853923797607, 'rmse': 0.25359395146369934}"
val,"{'mae': 0.24951808154582977, 'rmse': 0.2502443194389343}","{'mae': 0.18117466568946838, 'rmse': 0.2290959358215332}"
train,"{'mae': 0.09485854208469391, 'rmse': 0.1301143318414688}","{'mae': 0.17863769829273224, 'rmse': 0.2364446222782135}"
val,"{'mae': 0.033874187618494034, 'rmse': 0.03781670704483986}","{'mae': 0.1438666135072708, 'rmse': 0.18490977585315704}"
train,"{'mae': 0.08069823682308197, 'rmse': 0.11812432110309601}","{'mae': 0.15539264678955078, 'rmse': 0.20238430798053741}"
val,"{'mae': 0.2865844964981079, 'rmse': 0.2871912121772766}","{'mae': 0.1778843253850937, 'rmse': 0.23177553713321686}"
train,"{'mae': 0.05377693846821785, 'rmse': 0.07724378257989883}","{'mae': 0.14274807274341583, 'rmse': 0.18584631383419037}"
val,"{'mae': 0.01564939320087433, 'rmse': 0.02114614099264145}","{'mae': 0.1300843060016632, 'rmse': 0.17060887813568115}"
train,"{'mae': 0.02569318749010563, 'rmse': 0.03177114948630333}","{'mae': 0.1356038749217987, 'rmse': 0.17705503106117249}"
val,"{'mae': 0.023645833134651184, 'rmse': 0.027048707008361816}","{'mae': 0.13224804401397705, 'rmse': 0.1729629635810852}"
train,"{'mae': 0.022405358031392097, 'rmse': 0.02847195230424404}","{'mae': 0.13016846776008606, 'rmse': 0.17088966071605682}"
val,"{'mae': 0.015412823297083378, 'rmse': 0.020657410845160484}","{'mae': 0.12335828691720963, 'rmse': 0.1640460193157196}"
train,"{'mae': 0.01779375597834587, 'rmse': 0.022164149209856987}","{'mae': 0.12652738392353058, 'rmse': 0.16711455583572388}"
val,"{'mae': 0.022676510736346245, 'rmse': 0.025960484519600868}","{'mae': 0.12186112999916077, 'rmse': 0.16225840151309967}"
train,"{'mae': 0.016894323751330376, 'rmse': 0.020725039765238762}","{'mae': 0.1228455901145935, 'rmse': 0.1632782220840454}"
val,"{'mae': 0.01480329129844904, 'rmse': 0.018523868173360825}","{'mae': 0.12062835693359375, 'rmse': 0.16118350625038147}"
train,"{'mae': 0.017502514645457268, 'rmse': 0.02169530838727951}","{'mae': 0.12213365733623505, 'rmse': 0.1624719351530075}"
val,"{'mae': 0.020634422078728676, 'rmse': 0.023731663823127747}","{'mae': 0.12035727500915527, 'rmse': 0.16090555489063263}"
train,"{'mae': 0.016088131815195084, 'rmse': 0.019639132544398308}","{'mae': 0.12094293534755707, 'rmse': 0.16130782663822174}"
val,"{'mae': 0.014904123730957508, 'rmse': 0.019356200471520424}","{'mae': 0.11906652897596359, 'rmse': 0.1594802737236023}"
train,"{'mae': 0.016736548393964767, 'rmse': 0.020576320588588715}","{'mae': 0.12053557485342026, 'rmse': 0.16086643934249878}"
val,"{'mae': 0.014910056255757809, 'rmse': 0.019419725984334946}","{'mae': 0.11938794702291489, 'rmse': 0.15968717634677887}"
train,"{'mae': 0.015647387132048607, 'rmse': 0.018989697098731995}","{'mae': 0.1199227049946785, 'rmse': 0.1602211743593216}"
val,"{'mae': 0.016199564561247826, 'rmse': 0.021863579750061035}","{'mae': 0.11851547658443451, 'rmse': 0.15907356142997742}"
train,"{'mae': 0.015669049695134163, 'rmse': 0.019036516547203064}","{'mae': 0.11970416456460953, 'rmse': 0.16000774502754211}"
