global_epoch,stage,stage_epoch,lr_weight,std_q,mean_abs_q,f_long_over_f_total,e_long_over_e_total
1,1,1,1.0,0.04567110901151188,0.01623095430064405,8.381124141302991e-05,3.0476872866696607
2,1,2,1.0,0.04536964831708282,0.016111522674560546,7.358563152387963e-05,4.145254097186387
3,1,3,1.0,0.04704107120391116,0.01677607600709312,6.40622380480317e-05,3.859753686734656
4,1,4,1.0,0.048273181271227844,0.017271305997147518,6.13549546138368e-05,4.1300035846366
5,1,5,1.0,0.046969756859213556,0.016808600531684027,5.550850242030186e-05,3.376282836779318
6,1,6,1.0,0.04560753001649968,0.01632904052734375,5.3600576953393246e-05,3.5263969121555223
7,1,7,1.0,0.044578797897890994,0.016012610932700653,5.063422052286413e-05,4.094455999875824
8,1,8,1.0,0.04323632590930753,0.015583982744787494,4.8879434366227236e-05,3.570208276740219
9,1,9,1.0,0.04193408627994621,0.015143446490295932,4.8145340240396466e-05,3.86958854601807
10,1,10,1.0,0.039794232880741354,0.014409470207670815,5.295857001850228e-05,4.070054133258672
11,1,11,1.0,0.03852926790907844,0.013979529242230277,5.0772061084920394e-05,3.9349829939144647
12,1,12,1.0,0.03780015395909321,0.013725101030789888,5.295801329720754e-05,4.213834982676776
13,1,13,1.0,0.036345764128412374,0.013176258136064578,5.651069545828483e-05,4.099600865707063
14,1,14,1.0,0.03559243475381439,0.012956372448521802,5.568372886556903e-05,3.999883787130431
15,1,15,1.0,0.03493477849041675,0.012728434114374666,5.558458054726498e-05,3.984210817119715
16,1,16,1.0,0.03458293116717116,0.012609436589428502,5.593549150803789e-05,4.064169474124484
17,1,17,1.0,0.034112242180386616,0.012465047021197457,5.507636042254859e-05,4.026382414536613
18,1,18,1.0,0.033550324809865535,0.012295079157902645,5.908310847195401e-05,4.0326850288435825
19,1,19,1.0,0.03277098417344406,0.012008216654133593,5.885628845090511e-05,4.1196521289810955
20,1,20,1.0,0.03206689768701768,0.011800000842819866,5.787650517904029e-05,3.366198681076909
21,1,21,1.0,0.0321178844532639,0.011796193717891335,5.876559754791839e-05,4.061354015709807
22,1,22,1.0,0.03197903858268767,0.01174085939847506,5.971519316213866e-05,3.874239880858152
23,1,23,1.0,0.031966822715862264,0.011732592599004762,5.999712045489046e-05,4.058112946116759
24,1,24,1.0,0.03191399324092988,0.01170835204817291,5.97561349606369e-05,4.1874206125970215
25,1,25,1.0,0.03159842155028809,0.011604535102844237,5.831066789414477e-05,3.8194393484837232
26,1,26,1.0,0.031490466398983494,0.01156859730451535,5.8268775101003494e-05,4.072316533677913
27,1,27,1.0,0.03136720708928914,0.011541992366823376,5.7733976628842845e-05,3.73271196092936
