global_epoch,stage,phase,stage_epoch,lr_weight,sr_weight,std_q,mean_abs_q,mean_q_mono,std_q_mono,mean_abs_q_mono,mean_q_dipole,std_q_dipole,mean_abs_q_dipole,mean_q_quadrupole,std_q_quadrupole,mean_abs_q_quadrupole,mean_e_short,mean_e_long,mean_e_total,mean_abs_e_short,mean_abs_e_long,mean_abs_e_total,f_long_over_f_total,e_long_over_e_total
5,1,stage_1,5,10.0,1.0,0.04520695906291055,0.015905699281610994,-0.14197127004770133,0.02185504246800616,0.14197127004770133,-3.3004812072389403e-07,0.0001654213801613947,0.00011129429095830673,-8.229293659902536e-06,0.0002543161889286039,0.00016922794511685005,40.776169158935545,-40.88927807617188,-0.11310913848876954,40.776169158935545,40.88927807617188,0.41591585540771486,0.00023769940564526287,98.3114193520919
10,1,stage_1,10,10.0,1.0,0.04744936885362166,0.016672737398718156,-0.14891325723207913,0.023503446679735154,0.14891325723207913,-3.7257193635480526e-07,0.00015656230233195,0.00010805950609919352,-6.197368761954399e-06,0.00024860894027072683,0.00016344000708598357,41.08485729980469,-40.88850048828125,0.1963570098876953,41.08485729980469,40.88850048828125,0.4348667297363281,0.00020650509902982083,94.02535924758625
15,1,stage_1,15,10.0,1.0,0.04765107629083577,0.01678679762946235,-0.14997440118056077,0.0210227934749216,0.14997440118056077,-4.02047879432734e-07,0.0001481360139016939,0.00010525607460966477,1.010771099334726e-06,0.00024490827370327115,0.00015820161081277407,40.923038360595704,-40.88835729980469,0.034680900573730467,40.923038360595704,40.88835729980469,0.4084367446899414,0.00018932905210039975,100.10939963505112
20,1,stage_1,20,10.0,1.0,0.048199631837203986,0.01699556482755221,-0.151851247714116,0.020283277776247572,0.151851247714116,-4.628359807285074e-07,0.00015294026740071673,0.0001083050161982194,2.3527315334202006e-06,0.00024357392329179924,0.0001567840108504662,40.84197259521484,-40.888134155273434,-0.046161148071289064,40.84197259521484,40.888134155273434,0.4223952789306641,0.0001752098718103778,96.8006419455867
25,1,stage_1,25,10.0,1.0,0.04825861380084984,0.017012424925453642,-0.1520258359175462,0.02037579095925392,0.1520258359175462,-4.892852993156666e-07,0.00015075892881449786,0.00010746253940921564,4.131627226105103e-06,0.00023825925908986108,0.00015272020582969372,40.69091439819336,-40.88811557006836,-0.1972015609741211,40.69091439819336,40.88811557006836,0.4548224411010742,0.00017749761719964627,89.89907241842072
30,1,stage_1,30,10.0,1.0,0.04803281759006714,0.016935008040860167,-0.15131499715951774,0.020279845752137857,0.15131499715951774,-5.203981149511842e-07,0.00015660112196492796,0.00011045589326665952,3.448434086301579e-06,0.00024011709655849306,0.00015374129368708685,40.57808831787109,-40.88819329833984,-0.31010530853271484,40.57808831787109,40.88819329833984,0.49566202545166016,0.00018819456014846327,82.49208371587768
35,1,stage_1,35,10.0,1.0,0.04774127092718758,0.01683123807825594,-0.1503972339630127,0.020149213026395406,0.1503972339630127,-5.155017917366842e-07,0.00015512320329471294,0.00010926716363964937,4.198853367079909e-06,0.00023596705812280717,0.0001512215339220487,40.61587554931641,-40.8882978515625,-0.27242220306396486,40.61587554931641,40.8882978515625,0.47102477264404297,0.00019449823400628422,86.80710702760022
40,1,stage_1,40,10.0,1.0,0.0474594829415654,0.01674969205285749,-0.14966074642768273,0.01899729659144862,0.14966074642768273,-5.230206357410703e-07,0.0001561036461359345,0.00010931742143554565,4.7534799149546486e-06,0.00023641041732151938,0.00015170603039172978,41.147990478515624,-40.88837286376953,0.2596175308227539,41.147990478515624,40.88837286376953,0.4360892562866211,0.00018619527831594562,93.76147720753642
45,1,stage_1,45,10.0,1.0,0.04707579706943872,0.01660518210973495,-0.14835676413315993,0.019487752377607054,0.14835676413315993,-5.192501874915205e-07,0.00015797747192406464,0.00011005698469204781,5.4495439775144826e-06,0.0002358268009267082,0.00015194084277519814,40.63120306396485,-40.888526428222654,-0.25732330322265623,40.63120306396485,40.888526428222654,0.4729153594970703,0.00019086239254287492,86.46055918273883
50,1,stage_1,50,10.0,1.0,0.04624478104435873,0.016337478425767687,-0.14596164791400615,0.017559017755506088,0.14596164791400615,-5.059551887172394e-07,0.0001544300234082089,0.00010786598997238355,6.187238612283881e-06,0.00023267864456783853,0.0001504119391624744,40.81542532348633,-40.888787658691406,-0.07336196899414063,40.81542532348633,40.888787658691406,0.42489329528808595,0.000188489054627197,96.2330733672039
