global_epoch,stage,phase,stage_epoch,lr_weight,sr_weight,n_structures,amp_ref_rel,amp_pred_total_rel,amp_pred_long_rel,amp_pred_short_rel,corr_total_vs_ref,corr_long_vs_ref,mean_f_long_over_total,mean_q0_abs,mean_q1_norm,mean_q2_norm
10,1,stage_1,10,10.0,1.0,1000,0.742828369140625,0.013530731201171875,4.76837158203125e-06,0.013535499572753906,-0.23899301870305348,0.17719805199151806,0.0020619714530184866,0.15107089987397193,0.00018189813078788576,0.0003805207060941029
20,1,stage_1,20,10.0,1.0,1000,0.742828369140625,0.002716064453125,4.76837158203125e-06,0.0027112960815429688,0.23665006719002563,0.19115315695878113,0.004258641981519758,0.15417792972922326,0.00017279683452215978,0.0004107692222751211
30,1,stage_1,30,10.0,1.0,1000,0.742828369140625,0.008991241455078125,0.0,0.008991241455078125,0.23826555067082292,nan,0.002960760026471689,0.15402333743870258,0.00017373750564001966,0.00043784092622809113
40,1,stage_1,40,10.0,1.0,1000,0.742828369140625,0.008022308349609375,0.0,0.008022308349609375,0.2379402082543911,nan,0.0026385229143779726,0.15239434115588665,0.0001703670678543858,0.0004452101762581151
50,1,stage_1,50,10.0,1.0,1000,0.742828369140625,0.015514373779296875,0.0,0.015514373779296875,0.23869697853444163,nan,0.0027999365290161224,0.14899765138328075,0.0001663977358402917,0.00043256210949039087
60,1,stage_1,60,10.0,1.0,1000,0.742828369140625,0.007720947265625,4.76837158203125e-06,0.007720947265625,0.23786880599261223,0.060668791479538124,0.005974728194531053,0.14611084853112696,0.00016953190136700867,0.00043274611947708764
70,1,stage_1,70,10.0,1.0,1000,0.742828369140625,0.0098419189453125,0.0,0.0098419189453125,0.23852251187593948,nan,0.0036058010694105178,0.14338830608129502,0.00016824229524354452,0.00042899983568349853
80,1,stage_1,80,10.0,1.0,1000,0.742828369140625,0.0076904296875,4.76837158203125e-06,0.007686614990234375,0.23858854231075902,0.06899510558601359,0.006123514103703201,0.14078690637648106,0.00016808586915431078,0.00042266632747487164
90,1,stage_1,90,10.0,1.0,1000,0.742828369140625,0.00730133056640625,0.0,0.00730133056640625,0.23850422191773388,nan,0.006560653842519968,0.1410419710725546,0.0001696459466329543,0.00041852260867017324
100,1,stage_1,100,10.0,1.0,1000,0.742828369140625,0.0059356689453125,0.0,0.0059356689453125,0.238204850807021,nan,0.00501741463271901,0.13925489422678947,0.00017138469821657054,0.0004233317264006473
110,1,stage_1,110,10.0,1.0,1000,0.742828369140625,0.0075225830078125,0.0,0.0075225830078125,0.23881401357431506,nan,0.005279060883447528,0.13900320863723756,0.0001712185761280125,0.0004161575896141585
120,1,stage_1,120,10.0,1.0,1000,0.742828369140625,0.006359100341796875,0.0,0.006359100341796875,0.23842575603263097,nan,0.004567059451714158,0.13892377191782,0.00017187500635918696,0.0004141942480637226
130,1,stage_1,130,10.0,1.0,1000,0.742828369140625,0.00510406494140625,4.76837158203125e-06,0.005099296569824219,0.2387866146817301,0.22197434448924588,0.009181433634832502,0.13923562923073768,0.00017204337153816596,0.00041423172972281466
140,1,stage_1,140,10.0,1.0,1000,0.742828369140625,0.004184722900390625,4.76837158203125e-06,0.004179954528808594,0.23879054685027576,0.21584637195182088,0.005172954685054719,0.13992602768540383,0.00017154226079583169,0.00041125536433537493
150,1,stage_1,150,10.0,1.0,1000,0.742828369140625,0.006103515625,0.0,0.006103515625,0.2382391302214941,nan,0.006306119457352906,0.1409726969152689,0.00017402663236134686,0.00040953649234143087
160,1,stage_1,160,10.0,1.0,1000,0.742828369140625,0.006671905517578125,4.76837158203125e-06,0.006667137145996094,0.23861684718030016,0.20789311303288346,0.004188232643995434,0.14183447989821435,0.00017545920655538794,0.0004089216275315266
170,1,stage_1,170,10.0,1.0,1000,0.742828369140625,0.00545501708984375,4.76837158203125e-06,0.005450248718261719,0.23846603367786473,0.2190265858903486,0.009261176091618835,0.14176368837058545,0.00017573033258668148,0.0004092303652141709
