global_epoch,stage,phase,stage_epoch,lr_weight,sr_weight,n_structures,amp_ref_rel,amp_pred_total_rel,amp_pred_long_rel,amp_pred_short_rel,corr_total_vs_ref,corr_long_vs_ref,mean_f_long_over_total,mean_q0_abs,mean_q1_norm,mean_q2_norm
10,1,joint_warmup,10,10.0,1.0,1000,0.742828369140625,0.015533447265625,4.76837158203125e-06,0.015538215637207031,-0.238974525694792,0.17835807879787677,0.0038894164855591954,0.1523418414592743,0.0001800919488450745,0.00037314389197854326
20,1,joint_warmup,20,10.0,1.0,1000,0.742828369140625,0.001186370849609375,0.0,0.001186370849609375,0.23424843756329725,nan,0.0034654127454850823,0.15437137557566166,0.00016492632245353889,0.00038671912337304095
30,1,joint_warmup,30,10.0,1.0,1000,0.742828369140625,0.0081634521484375,4.76837158203125e-06,0.008158683776855469,0.23828302319795258,0.22836236066759083,0.00397240788443014,0.15310866548120974,0.00017239018436521292,0.00042326388813671657
40,1,joint_warmup,40,10.0,1.0,1000,0.742828369140625,0.00899505615234375,0.0,0.00899505615234375,0.23827734087504132,nan,0.0017267861395375804,0.15217574512958526,0.00016902821497933473,0.00043296116072451696
50,1,joint_warmup,50,10.0,1.0,1000,0.742828369140625,0.014041900634765625,0.0,0.014041900634765625,0.2385678474623993,nan,0.003008275347528979,0.14835055182874202,0.00016588589789171237,0.000421941373788286
60,1,joint_warmup,60,10.0,1.0,1000,0.742828369140625,0.010944366455078125,4.76837158203125e-06,0.010939598083496094,0.2383240851714116,0.20298198573386114,0.004547518115025013,0.14541762739419936,0.0001688392725336598,0.0004239451880857814
70,1,joint_warmup,70,10.0,1.0,1000,0.742828369140625,0.0099639892578125,0.0,0.0099639892578125,0.23843613681382372,nan,0.0030224656246136874,0.14329599453508854,0.00016902332648169248,0.0004220037940540351
80,1,joint_warmup,80,10.0,1.0,1000,0.742828369140625,0.008544921875,4.76837158203125e-06,0.008544921875,0.23843874513807573,-0.01363278040773398,0.004696832441259176,0.14006859378516673,0.0001670138226036215,0.0004132993891835213
90,1,joint_warmup,90,10.0,1.0,1000,0.742828369140625,0.007415771484375,0.0,0.007415771484375,0.2384864432756948,nan,0.008989223698154091,0.13825840693712235,0.0001666175758728059,0.0004089761084469501
100,1,joint_warmup,100,10.0,1.0,1000,0.742828369140625,0.00559234619140625,0.0,0.00559234619140625,0.23815766769986318,nan,0.004153711844235659,0.13739589262008667,0.00016930719345691615,0.00041460516833467407
110,2,lr_focus,10,10.0,0.1,1000,0.742828369140625,8.58306884765625e-05,6.67572021484375e-05,4.1961669921875e-05,0.19783617105288417,0.23728448238446664,1.309764325261116,0.04881871635839343,9.498629476001952e-05,0.00021116782266472002
120,2,lr_focus,20,10.0,0.1,1000,0.742828369140625,0.03716278076171875,0.0003528594970703125,0.03751564025878906,0.23893501798472422,-0.238982194500698,0.009994186281226575,0.2592649801671505,0.00012816438845766241,0.0002925127336347941
130,2,lr_focus,30,10.0,0.1,1000,0.742828369140625,0.00209808349609375,0.0001430511474609375,0.0019598007202148438,0.24330679375427341,0.23958153903747745,0.10311674632132053,0.5748117900490761,0.0001741965797409648,0.0004318450170394499
140,2,lr_focus,40,10.0,0.1,1000,0.742828369140625,0.001373291015625,0.00017642974853515625,0.0015497207641601562,-0.2327031274725041,0.23915267841381033,0.03776628445461393,0.532097730755806,0.0001935101250128355,0.0004671186580089852
150,2,lr_focus,50,10.0,0.1,1000,0.742828369140625,0.0062103271484375,0.00016689300537109375,0.006043434143066406,0.23969340911131876,0.23940634320652215,0.0310040945392102,0.5177114164233207,0.00019393984055204782,0.0004695972831977997
160,2,lr_focus,60,10.0,0.1,1000,0.742828369140625,0.00725555419921875,0.00017642974853515625,0.007079124450683594,0.2391790725611239,0.23946586495108377,0.038300297498703,0.5418651630878448,0.00020126106275711208,0.0004692544562276453
170,2,lr_focus,70,10.0,0.1,1000,0.742828369140625,0.009929656982421875,0.00014781951904296875,0.009781837463378906,0.23908613635609555,0.23808614241849546,0.04173153235390782,0.5120430308580398,0.00019985340208222624,0.00045616621323279105
180,2,lr_focus,80,10.0,0.1,1000,0.742828369140625,0.0097503662109375,0.0001430511474609375,0.009607315063476562,0.23919359748688454,0.23826932082925056,0.057016616508364676,0.5093615148663521,0.00019453378519392574,0.0004333620063844137
190,2,lr_focus,90,10.0,0.1,1000,0.742828369140625,0.009456634521484375,0.00012874603271484375,0.009327888488769531,0.23922942267114802,0.23749429170487327,0.0725320457816124,0.47406087481975556,0.00019154846838500818,0.0004181486600718927
200,2,lr_focus,100,10.0,0.1,1000,0.742828369140625,0.01085662841796875,0.000152587890625,0.01070404052734375,0.2391568343384439,0.2385206756351929,0.06782647935301066,0.4519269475340843,0.00019152497900358866,0.00041332873536157423
210,2,lr_focus,110,10.0,0.1,1000,0.742828369140625,0.0100860595703125,0.000152587890625,0.0099334716796875,0.23913231146525968,0.2393462260371947,0.058619629219174386,0.4488324855566025,0.00019298788170272018,0.0004129129147331696
220,2,lr_focus,120,10.0,0.1,1000,0.742828369140625,0.01100921630859375,0.000171661376953125,0.010842323303222656,0.23905666214821694,0.23979854707705744,0.03889868684113026,0.4862142734229565,0.0001967342717689462,0.0004152947552211117
230,2,lr_focus,130,10.0,0.1,1000,0.742828369140625,0.011730194091796875,0.00015735626220703125,0.011572837829589844,0.239041988299849,0.23757550493615426,0.04559751217067241,0.4695740983784199,0.00019713867506652606,0.00041598182101733983
240,2,lr_focus,140,10.0,0.1,1000,0.742828369140625,0.0117645263671875,0.00016689300537109375,0.011597633361816406,0.23907483871317725,0.2386402127241245,0.062166257489472625,0.46046265244483947,0.00020349744186387396,0.00042079241274041126
250,2,lr_focus,150,10.0,0.1,1000,0.742828369140625,0.010265350341796875,0.0001621246337890625,0.010103225708007812,0.23902711211644187,0.23650501815985916,0.07582135425508023,0.46552626636624334,0.00020444923730974552,0.00042079078598180784
260,2,lr_focus,160,10.0,0.1,1000,0.742828369140625,0.011188507080078125,0.00016689300537109375,0.011021614074707031,0.23899742702874632,0.23855947860613083,0.049638001326471566,0.45596700102090837,0.00020831457366875838,0.0004193806831899565
