train,"{'mae': 0.6518903374671936, 'rmse': 1.3577231168746948}","{'mae': 1.1106438636779785, 'rmse': 2.484949827194214}"
val,"{'mae': 0.020041774958372116, 'rmse': 0.024387480691075325}","{'mae': 0.32226312160491943, 'rmse': 0.43126875162124634}"
train,"{'mae': 0.02746475674211979, 'rmse': 0.034394871443510056}","{'mae': 0.2758151888847351, 'rmse': 0.37932631373405457}"
val,"{'mae': 0.036723606288433075, 'rmse': 0.041755665093660355}","{'mae': 0.22590205073356628, 'rmse': 0.29416054487228394}"
train,"{'mae': 0.026990165933966637, 'rmse': 0.03388363867998123}","{'mae': 0.23071572184562683, 'rmse': 0.31214842200279236}"
val,"{'mae': 0.01845962181687355, 'rmse': 0.022364959120750427}","{'mae': 0.23697292804718018, 'rmse': 0.3205144703388214}"
train,"{'mae': 0.023886289447546005, 'rmse': 0.029749462381005287}","{'mae': 0.21055743098258972, 'rmse': 0.2805183231830597}"
val,"{'mae': 0.014004944823682308, 'rmse': 0.01811051554977894}","{'mae': 0.19567333161830902, 'rmse': 0.25354987382888794}"
train,"{'mae': 0.02223801426589489, 'rmse': 0.027931446209549904}","{'mae': 0.19876065850257874, 'rmse': 0.2628979980945587}"
val,"{'mae': 0.013983112759888172, 'rmse': 0.019210100173950195}","{'mae': 0.1856226921081543, 'rmse': 0.2413993775844574}"
train,"{'mae': 0.0198166836053133, 'rmse': 0.025078633800148964}","{'mae': 0.18789388239383698, 'rmse': 0.24773257970809937}"
val,"{'mae': 0.013299343176186085, 'rmse': 0.018164508044719696}","{'mae': 0.17193078994750977, 'rmse': 0.22447776794433594}"
train,"{'mae': 0.01781401038169861, 'rmse': 0.022602995857596397}","{'mae': 0.18186379969120026, 'rmse': 0.2397470772266388}"
val,"{'mae': 0.013145409524440765, 'rmse': 0.01742272824048996}","{'mae': 0.1722925752401352, 'rmse': 0.22588975727558136}"
train,"{'mae': 0.015003656037151814, 'rmse': 0.018955109640955925}","{'mae': 0.17610754072666168, 'rmse': 0.23153114318847656}"
val,"{'mae': 0.012494641356170177, 'rmse': 0.015848802402615547}","{'mae': 0.16863574087619781, 'rmse': 0.21991929411888123}"
train,"{'mae': 0.013579961843788624, 'rmse': 0.01717337965965271}","{'mae': 0.1723165214061737, 'rmse': 0.2262267917394638}"
val,"{'mae': 0.01174361165612936, 'rmse': 0.016879795119166374}","{'mae': 0.16713924705982208, 'rmse': 0.21711772680282593}"
train,"{'mae': 0.012222399935126305, 'rmse': 0.015608852729201317}","{'mae': 0.1687762439250946, 'rmse': 0.2217147797346115}"
val,"{'mae': 0.011290134862065315, 'rmse': 0.01545846089720726}","{'mae': 0.166010320186615, 'rmse': 0.21574857831001282}"
