train,"{'mae': 0.15420012176036835, 'rmse': 0.1981450319290161}","{'mae': 0.24372874200344086, 'rmse': 0.3805660307407379}"
val,"{'mae': 0.33405792713165283, 'rmse': 0.33456140756607056}","{'mae': 0.2114102989435196, 'rmse': 0.350816935300827}"
train,"{'mae': 0.14466433227062225, 'rmse': 0.17543452978134155}","{'mae': 0.18183034658432007, 'rmse': 0.30725258588790894}"
val,"{'mae': 0.09693960100412369, 'rmse': 0.09723193943500519}","{'mae': 0.1633300930261612, 'rmse': 0.27109548449516296}"
train,"{'mae': 0.4040756821632385, 'rmse': 0.4357876479625702}","{'mae': 0.14537601172924042, 'rmse': 0.2418038249015808}"
val,"{'mae': 0.6564264297485352, 'rmse': 0.6564361453056335}","{'mae': 0.13788236677646637, 'rmse': 0.21429814398288727}"
train,"{'mae': 0.800771951675415, 'rmse': 0.8031288981437683}","{'mae': 0.126866415143013, 'rmse': 0.18685296177864075}"
val,"{'mae': 0.8546763062477112, 'rmse': 0.854795515537262}","{'mae': 0.1215013638138771, 'rmse': 0.1679210215806961}"
train,"{'mae': 0.8957584500312805, 'rmse': 0.8962376713752747}","{'mae': 0.1174105778336525, 'rmse': 0.16453635692596436}"
val,"{'mae': 0.9162744283676147, 'rmse': 0.916610598564148}","{'mae': 0.11529804021120071, 'rmse': 0.1551792174577713}"
train,"{'mae': 0.9128162264823914, 'rmse': 0.9132139682769775}","{'mae': 0.10966134071350098, 'rmse': 0.15086373686790466}"
val,"{'mae': 0.9424963593482971, 'rmse': 0.9428830742835999}","{'mae': 0.11349936574697495, 'rmse': 0.15109559893608093}"
train,"{'mae': 0.9167882204055786, 'rmse': 0.917330265045166}","{'mae': 0.10440891981124878, 'rmse': 0.1424391120672226}"
val,"{'mae': 0.8902660608291626, 'rmse': 0.8906326293945312}","{'mae': 0.10063404589891434, 'rmse': 0.13390988111495972}"
train,"{'mae': 0.8822778463363647, 'rmse': 0.8826563358306885}","{'mae': 0.10007967054843903, 'rmse': 0.13577476143836975}"
val,"{'mae': 0.8739278316497803, 'rmse': 0.8742165565490723}","{'mae': 0.09911686927080154, 'rmse': 0.1320873349905014}"
train,"{'mae': 0.8614251613616943, 'rmse': 0.8617716431617737}","{'mae': 0.09704498946666718, 'rmse': 0.13116545975208282}"
val,"{'mae': 0.8317145705223083, 'rmse': 0.8319258093833923}","{'mae': 0.09526290744543076, 'rmse': 0.12626242637634277}"
train,"{'mae': 0.8345087170600891, 'rmse': 0.8347795009613037}","{'mae': 0.0938534289598465, 'rmse': 0.12620624899864197}"
val,"{'mae': 0.8258722424507141, 'rmse': 0.8261325359344482}","{'mae': 0.09355361014604568, 'rmse': 0.1231643483042717}"
train,"{'mae': 0.8217945694923401, 'rmse': 0.822047233581543}","{'mae': 0.09252868592739105, 'rmse': 0.12404702603816986}"
val,"{'mae': 0.8075275421142578, 'rmse': 0.8077506422996521}","{'mae': 0.09284166991710663, 'rmse': 0.1222565695643425}"
train,"{'mae': 0.8055387139320374, 'rmse': 0.8057903051376343}","{'mae': 0.08976718038320541, 'rmse': 0.11992742866277695}"
val,"{'mae': 0.7807167172431946, 'rmse': 0.7808911204338074}","{'mae': 0.08866236358880997, 'rmse': 0.11666719615459442}"
train,"{'mae': 0.7731333374977112, 'rmse': 0.7733754515647888}","{'mae': 0.08823699504137039, 'rmse': 0.11754129081964493}"
val,"{'mae': 0.7781351208686829, 'rmse': 0.7783790230751038}","{'mae': 0.09106095880270004, 'rmse': 0.11953789740800858}"
train,"{'mae': 0.749343991279602, 'rmse': 0.7496187686920166}","{'mae': 0.08727291226387024, 'rmse': 0.11592966318130493}"
val,"{'mae': 0.7470398545265198, 'rmse': 0.7471838593482971}","{'mae': 0.08699899911880493, 'rmse': 0.11448884755373001}"
train,"{'mae': 0.7215947508811951, 'rmse': 0.7218315601348877}","{'mae': 0.08609271049499512, 'rmse': 0.1141909509897232}"
val,"{'mae': 0.7033783793449402, 'rmse': 0.7034726142883301}","{'mae': 0.08456417173147202, 'rmse': 0.11093242466449738}"
train,"{'mae': 0.69228595495224, 'rmse': 0.6925047039985657}","{'mae': 0.08580944687128067, 'rmse': 0.11383086442947388}"
val,"{'mae': 0.6840749382972717, 'rmse': 0.6841372847557068}","{'mae': 0.08840398490428925, 'rmse': 0.11647386103868484}"
train,"{'mae': 0.6567463874816895, 'rmse': 0.6569697856903076}","{'mae': 0.08356732130050659, 'rmse': 0.11044991761445999}"
val,"{'mae': 0.6313295364379883, 'rmse': 0.6313666105270386}","{'mae': 0.08441241085529327, 'rmse': 0.11036735028028488}"
train,"{'mae': 0.6267145872116089, 'rmse': 0.62689208984375}","{'mae': 0.08447427302598953, 'rmse': 0.11174020171165466}"
val,"{'mae': 0.6040273308753967, 'rmse': 0.6040491461753845}","{'mae': 0.08290677517652512, 'rmse': 0.10837695747613907}"
train,"{'mae': 0.5954405069351196, 'rmse': 0.5955715775489807}","{'mae': 0.08269166201353073, 'rmse': 0.10896887630224228}"
val,"{'mae': 0.5845118761062622, 'rmse': 0.5845544338226318}","{'mae': 0.0844196304678917, 'rmse': 0.1103888526558876}"
train,"{'mae': 0.5749876499176025, 'rmse': 0.575103223323822}","{'mae': 0.08468613028526306, 'rmse': 0.11210860311985016}"
val,"{'mae': 0.5520137548446655, 'rmse': 0.5520209074020386}","{'mae': 0.08093861490488052, 'rmse': 0.10581174492835999}"
train,"{'mae': 0.547897458076477, 'rmse': 0.5479515194892883}","{'mae': 0.08059534430503845, 'rmse': 0.10607834905385971}"
val,"{'mae': 0.5358648300170898, 'rmse': 0.535876452922821}","{'mae': 0.08017526566982269, 'rmse': 0.10495715588331223}"
train,"{'mae': 0.5176302194595337, 'rmse': 0.5178202986717224}","{'mae': 0.08019382506608963, 'rmse': 0.1054164245724678}"
val,"{'mae': 0.4908827245235443, 'rmse': 0.49091213941574097}","{'mae': 0.0812387466430664, 'rmse': 0.10626286268234253}"
train,"{'mae': 0.4886102080345154, 'rmse': 0.48873239755630493}","{'mae': 0.08004875481128693, 'rmse': 0.10508404672145844}"
val,"{'mae': 0.4758659303188324, 'rmse': 0.4759237468242645}","{'mae': 0.07895202934741974, 'rmse': 0.1032770648598671}"
train,"{'mae': 0.4619055986404419, 'rmse': 0.46209463477134705}","{'mae': 0.07858869433403015, 'rmse': 0.10320189595222473}"
val,"{'mae': 0.44885003566741943, 'rmse': 0.44892174005508423}","{'mae': 0.08049127459526062, 'rmse': 0.10505697131156921}"
train,"{'mae': 0.4366390109062195, 'rmse': 0.43680840730667114}","{'mae': 0.07970932126045227, 'rmse': 0.10474419593811035}"
val,"{'mae': 0.4199478030204773, 'rmse': 0.42003631591796875}","{'mae': 0.07776641100645065, 'rmse': 0.1017051637172699}"
train,"{'mae': 0.41466498374938965, 'rmse': 0.4148981273174286}","{'mae': 0.07873249053955078, 'rmse': 0.10320551693439484}"
val,"{'mae': 0.40858253836631775, 'rmse': 0.4087590277194977}","{'mae': 0.07705775648355484, 'rmse': 0.10058029741048813}"
train,"{'mae': 0.39413097500801086, 'rmse': 0.39442184567451477}","{'mae': 0.07742193341255188, 'rmse': 0.10145435482263565}"
val,"{'mae': 0.38793420791625977, 'rmse': 0.38813361525535583}","{'mae': 0.07980945706367493, 'rmse': 0.10422499477863312}"
train,"{'mae': 0.37013065814971924, 'rmse': 0.37045758962631226}","{'mae': 0.07741227746009827, 'rmse': 0.10148058831691742}"
val,"{'mae': 0.36365315318107605, 'rmse': 0.36387720704078674}","{'mae': 0.07775072753429413, 'rmse': 0.10169681161642075}"
train,"{'mae': 0.3530752658843994, 'rmse': 0.3534417748451233}","{'mae': 0.07747029513120651, 'rmse': 0.10152164101600647}"
val,"{'mae': 0.35090550780296326, 'rmse': 0.35124486684799194}","{'mae': 0.076420359313488, 'rmse': 0.0995948314666748}"
train,"{'mae': 0.3341566026210785, 'rmse': 0.33461013436317444}","{'mae': 0.07647049427032471, 'rmse': 0.10025399178266525}"
val,"{'mae': 0.32707923650741577, 'rmse': 0.3273791968822479}","{'mae': 0.07678968459367752, 'rmse': 0.10020627826452255}"
train,"{'mae': 0.31414130330085754, 'rmse': 0.31463727355003357}","{'mae': 0.07640302181243896, 'rmse': 0.10016025602817535}"
val,"{'mae': 0.29963356256484985, 'rmse': 0.3001668453216553}","{'mae': 0.07691050320863724, 'rmse': 0.1006513461470604}"
train,"{'mae': 0.295143723487854, 'rmse': 0.2956761419773102}","{'mae': 0.07518967986106873, 'rmse': 0.0984157845377922}"
val,"{'mae': 0.2823818027973175, 'rmse': 0.2827664017677307}","{'mae': 0.08080494403839111, 'rmse': 0.10560499131679535}"
train,"{'mae': 0.2765263020992279, 'rmse': 0.2771395444869995}","{'mae': 0.07515949010848999, 'rmse': 0.09832022339105606}"
val,"{'mae': 0.2699728012084961, 'rmse': 0.270516037940979}","{'mae': 0.07430552691221237, 'rmse': 0.0970146432518959}"
train,"{'mae': 0.2604949474334717, 'rmse': 0.26114508509635925}","{'mae': 0.0746258944272995, 'rmse': 0.0976736843585968}"
val,"{'mae': 0.25492385029792786, 'rmse': 0.25549739599227905}","{'mae': 0.07446475327014923, 'rmse': 0.09729743748903275}"
train,"{'mae': 0.2421855479478836, 'rmse': 0.2428610771894455}","{'mae': 0.07493318617343903, 'rmse': 0.09811665117740631}"
val,"{'mae': 0.24795685708522797, 'rmse': 0.24833327531814575}","{'mae': 0.07624031603336334, 'rmse': 0.09944476932287216}"
train,"{'mae': 0.23082569241523743, 'rmse': 0.2315739244222641}","{'mae': 0.07359567284584045, 'rmse': 0.09623752534389496}"
val,"{'mae': 0.2275068163871765, 'rmse': 0.22815479338169098}","{'mae': 0.07305232435464859, 'rmse': 0.09542245417833328}"
train,"{'mae': 0.2149602174758911, 'rmse': 0.21573923528194427}","{'mae': 0.07450734823942184, 'rmse': 0.09757144749164581}"
val,"{'mae': 0.20971716940402985, 'rmse': 0.21065720915794373}","{'mae': 0.0730941966176033, 'rmse': 0.09559738636016846}"
train,"{'mae': 0.20533442497253418, 'rmse': 0.2061937004327774}","{'mae': 0.07444043457508087, 'rmse': 0.0975361242890358}"
val,"{'mae': 0.19739432632923126, 'rmse': 0.19811096787452698}","{'mae': 0.07337062060832977, 'rmse': 0.09592274576425552}"
train,"{'mae': 0.1898220181465149, 'rmse': 0.1907038688659668}","{'mae': 0.07269703596830368, 'rmse': 0.09504745900630951}"
val,"{'mae': 0.19485539197921753, 'rmse': 0.19560210406780243}","{'mae': 0.07249948382377625, 'rmse': 0.09484570473432541}"
train,"{'mae': 0.17548222839832306, 'rmse': 0.17647422850131989}","{'mae': 0.0730452835559845, 'rmse': 0.09553024917840958}"
val,"{'mae': 0.17856749892234802, 'rmse': 0.17912611365318298}","{'mae': 0.07275976985692978, 'rmse': 0.09468569606542587}"
train,"{'mae': 0.16213791072368622, 'rmse': 0.16309402883052826}","{'mae': 0.07205101102590561, 'rmse': 0.09422727674245834}"
val,"{'mae': 0.156280979514122, 'rmse': 0.1570303738117218}","{'mae': 0.07240286469459534, 'rmse': 0.09433262795209885}"
train,"{'mae': 0.15062929689884186, 'rmse': 0.15165960788726807}","{'mae': 0.07240966707468033, 'rmse': 0.09472622722387314}"
val,"{'mae': 0.14035508036613464, 'rmse': 0.14120347797870636}","{'mae': 0.07484938204288483, 'rmse': 0.09776624292135239}"
train,"{'mae': 0.14086878299713135, 'rmse': 0.1419215351343155}","{'mae': 0.07239587604999542, 'rmse': 0.09480977803468704}"
val,"{'mae': 0.14997294545173645, 'rmse': 0.15082168579101562}","{'mae': 0.07387495785951614, 'rmse': 0.09644497185945511}"
train,"{'mae': 0.1300402581691742, 'rmse': 0.1310940831899643}","{'mae': 0.07221484929323196, 'rmse': 0.09449642896652222}"
val,"{'mae': 0.125742107629776, 'rmse': 0.12683382630348206}","{'mae': 0.0733707845211029, 'rmse': 0.09598720818758011}"
train,"{'mae': 0.11971402913331985, 'rmse': 0.12079890072345734}","{'mae': 0.07170788943767548, 'rmse': 0.09373265504837036}"
val,"{'mae': 0.12361418455839157, 'rmse': 0.12455142289400101}","{'mae': 0.07118632644414902, 'rmse': 0.09314607083797455}"
train,"{'mae': 0.11014281213283539, 'rmse': 0.11133160442113876}","{'mae': 0.07129281014204025, 'rmse': 0.0931849554181099}"
val,"{'mae': 0.10316469520330429, 'rmse': 0.10433220118284225}","{'mae': 0.07144443690776825, 'rmse': 0.09349042177200317}"
train,"{'mae': 0.09980200231075287, 'rmse': 0.10107847303152084}","{'mae': 0.07319043576717377, 'rmse': 0.09595437347888947}"
val,"{'mae': 0.10423871874809265, 'rmse': 0.10492224246263504}","{'mae': 0.07101904600858688, 'rmse': 0.09291834384202957}"
train,"{'mae': 0.09405418485403061, 'rmse': 0.09518075734376907}","{'mae': 0.07098574936389923, 'rmse': 0.09285910427570343}"
val,"{'mae': 0.08484405279159546, 'rmse': 0.08636200428009033}","{'mae': 0.07042117416858673, 'rmse': 0.09212595224380493}"
train,"{'mae': 0.08400207757949829, 'rmse': 0.08527658134698868}","{'mae': 0.07076665759086609, 'rmse': 0.09253276139497757}"
val,"{'mae': 0.0801120176911354, 'rmse': 0.08115288615226746}","{'mae': 0.07012975960969925, 'rmse': 0.09168680012226105}"
train,"{'mae': 0.07543232291936874, 'rmse': 0.07679113745689392}","{'mae': 0.07119099795818329, 'rmse': 0.0931495726108551}"
