Molecule,MACE,exp
1-butanamine,5.881,8.542
"1,2,4-trimethylbenzene",8.092,11.37
methylformate,5.176,6.78
N-methylacetamide,12.916,13.3
1-bromopropane,4.714,7.696
methanethiol,4.561,5.87
"1,1-dichloroethane",5.402,7.318
"1,1-dichloroethene",5.494,6.329
N-1-methylethyl-2-propanamine,3.623,8.282
methylamine,5.409,6.17
morpholine,9.858,10.832
1-propanamine,5.182,7.404
"N,N-dimethylformamide",8.981,11.37
1-nitropropane,7.717,10.37
"N,N-dimethylaniline",9.364,11.9
"1,1,2-trichloroethane",7.668,9.627
N-methylaniline,11.262,12.7
1-chlorobutane,5.739,8.011
nitro-methane,7.027,9.23
1-methylethylbenene,7.821,10.789
"1,2-dimethylbenzene",7.667,10.38
nitroethane,7.408,9.49
formaldehyde,4.295,5.521
"1,4-dichlorobutane",8.56,10.973
n-butanethiol,5.898,8.877
"1,2-dibromoethane",4.668,9.974
methanol,8.658,8.946
"1,2-dichloroethane",7.022,8.403
1-bromobutane,5.636,8.748
methylbenzoate,10.887,13.282
1-butanol,10.989,12.512
"1,3-dichloropropane",7.474,9.572
1-pentanol,12.468,13.628
N-ethyl-ethanamine,4.555,7.486
"1,1,2,2-tetrachloroethane",8.683,10.925
methylacetate,5.574,7.72
